Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE TRUMPS,"1,540,000",947.23,"1,626",Mar-24,JALAN KEMBANGAN,Resale,Strata,88,"17,500",-,Condominium,1,99 yrs lease commencing from 2000,14,Outside Central Region,01 to 05
PARC RIVIERA,"965,000",602.78,"1,601",Mar-24,WEST COAST VALE,Resale,Strata,56,"17,232",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,11 to 15
D'LEEDON,"3,650,000","1,399.32","2,608",Mar-24,LEEDON HEIGHTS,Resale,Strata,130,"28,077",-,Condominium,1,99 yrs lease commencing from 2010,10,Core Central Region,26 to 30
368 THOMSON,"1,710,000",871.88,"1,961",Mar-24,THOMSON ROAD,Resale,Strata,81,"21,111",-,Condominium,1,Freehold,11,Core Central Region,26 to 30
ONE LEICESTER,"1,498,000",914.94,"1,637",Mar-24,LEICESTER ROAD,Resale,Strata,85,"17,624",-,Condominium,1,Freehold,13,Rest of Central Region,06 to 10
ORCHARD BEL AIR,"5,200,000","3,250.73","1,600",Mar-24,ORCHARD BOULEVARD,Resale,Strata,302,"17,219",-,Condominium,1,99 yrs lease commencing from 1980,10,Core Central Region,11 to 15
CARIBBEAN AT KEPPEL BAY,"1,780,000",893.41,"1,992",Mar-24,KEPPEL BAY DRIVE,Resale,Strata,83,"21,446",-,Condominium,1,99 yrs lease commencing from 1999,04,Rest of Central Region,06 to 10
CORALS AT KEPPEL BAY,"8,700,000","2,970.86","2,928",Mar-24,KEPPEL BAY DRIVE,Resale,Strata,276,"31,522",-,Condominium,1,99 yrs lease commencing from 2007,04,Rest of Central Region,01 to 05
CARIBBEAN AT KEPPEL BAY,"2,308,888","1,280.92","1,803",Mar-24,KEPPEL BAY DRIVE,Resale,Strata,119,"19,402",-,Condominium,1,99 yrs lease commencing from 1999,04,Rest of Central Region,01 to 05
THE SIERRA,"1,730,000",979.52,"1,766",Mar-24,MOUNT SINAI DRIVE,Resale,Strata,91,"19,011",-,Apartment,1,947 yrs lease commencing from 1937,10,Core Central Region,06 to 10
VA RESIDENCES,"1,460,000",839.59,"1,739",Mar-24,BOON TECK ROAD,Resale,Strata,78,"18,718",-,Apartment,1,Freehold,12,Rest of Central Region,01 to 05
MARGARET VILLE,"2,608,888","1,184.04","2,203",Mar-24,MARGARET DRIVE,Resale,Strata,110,"23,717",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,36 to 40
D' IXORAS,"1,405,000",839.59,"1,673",Mar-24,MINBU ROAD,Resale,Strata,78,"18,013",-,Apartment,1,Freehold,11,Core Central Region,06 to 10
WATERBANK AT DAKOTA,"850,000",484.38,"1,755",Mar-24,DAKOTA CRESCENT,Resale,Strata,45,"18,889",-,Condominium,1,99 yrs lease commencing from 2009,14,Rest of Central Region,06 to 10
