Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
MANDALAY MANSION,"2,450,000","2,088.22","1,173",Jan-22,MINBU ROAD,Resale,Strata,194,"12,629",-,Apartment,1,Freehold,11,Core Central Region,01 to 05
SOLEIL @ SINARAN,"3,088,888","1,463.9","2,110",Jan-22,SINARAN DRIVE,Resale,Strata,136,"22,712",-,Condominium,1,99 yrs lease commencing from 2006,11,Core Central Region,26 to 30
PAVILION 11,"2,628,000","1,485.43","1,769",Jan-22,AKYAB ROAD,Resale,Strata,138,"19,043",-,Condominium,1,Freehold,11,Core Central Region,11 to 15
TANGLIN PARK,"3,080,000","1,485.43","2,073",Jan-22,RIDLEY PARK,Resale,Strata,138,"22,319",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
EIGHT RIVERSUITES,"1,270,000",839.59,"1,513",Jan-22,WHAMPOA EAST,Resale,Strata,78,"16,282",-,Condominium,1,99 yrs lease commencing from 2011,12,Rest of Central Region,16 to 20
MARINA ONE RESIDENCES,"4,321,868","1,539.25","2,808",Jan-22,MARINA WAY,Resale,Strata,143,"30,223",-,Apartment,1,99 yrs lease commencing from 2011,01,Core Central Region,31 to 35
WATERSCAPE AT CAVENAGH,"2,450,000","1,302.44","1,881",Jan-22,CAVENAGH ROAD,Resale,Strata,121,"20,248",-,Apartment,1,Freehold,09,Core Central Region,01 to 05
EUHABITAT,"690,000",538.2,"1,282",Jan-22,JALAN EUNOS,Resale,Strata,50,"13,800",-,Condominium,1,99 yrs lease commencing from 2010,14,Outside Central Region,01 to 05
GUILLEMARD EDGE,"638,000",409.03,"1,560",Jan-22,LORONG 30 GEYLANG,Resale,Strata,38,"16,789",-,Apartment,1,Freehold,14,Rest of Central Region,06 to 10
GOLD COAST CONDOMINIUM,"1,900,000","1,474.67","1,288",Jan-22,PASIR PANJANG ROAD,Resale,Strata,137,"13,869",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
NOVA 88,"2,710,000","2,303.5","1,176",Jan-22,BHAMO ROAD,Resale,Strata,214,"12,664",-,Apartment,1,Freehold,12,Rest of Central Region,11 to 15
LOFT 33,"1,025,000",699.66,"1,465",Jan-22,LORONG 32 GEYLANG,Resale,Strata,65,"15,769",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
KALLANG RIVERSIDE,"1,200,000",516.67,"2,323",Jan-22,KAMPONG BUGIS,Resale,Strata,48,"25,000",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
PAVILION SQUARE,"570,000",398.27,"1,431",Jan-22,GEYLANG ROAD,Resale,Strata,37,"15,405",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
THOMSON EURO-ASIA,"2,750,000","1,291.68","2,129",Jan-22,THOMSON ROAD,Resale,Strata,120,"22,917",-,Condominium,1,Freehold,11,Core Central Region,21 to 25
PINNACLE 16,"1,600,000","1,173.28","1,364",Jan-22,SHAN ROAD,Resale,Strata,109,"14,679",-,Apartment,1,Freehold,12,Rest of Central Region,01 to 05
DENG FU VILLE,"1,300,000","1,022.58","1,271",Jan-22,KAMPONG EUNOS,Resale,Strata,95,"13,684",-,Apartment,1,Freehold,14,Outside Central Region,01 to 05
EIGHT RIVERSUITES,"1,000,000",699.66,"1,429",Jan-22,WHAMPOA EAST,Resale,Strata,65,"15,385",-,Condominium,1,99 yrs lease commencing from 2011,12,Rest of Central Region,01 to 05
SKYSUITES17,"1,038,000",613.55,"1,692",Jan-22,JALAN RAJAH,Resale,Strata,57,"18,211",-,Apartment,1,Freehold,12,Rest of Central Region,16 to 20
NINETEEN SHELFORD ROAD,"1,630,000",925.7,"1,761",Jan-22,SHELFORD ROAD,Resale,Strata,86,"18,953",-,Condominium,1,Freehold,11,Core Central Region,01 to 05
VISTA RESIDENCES,"2,170,000","1,280.92","1,694",Jan-22,JALAN DATOH,Resale,Strata,119,"18,235",-,Condominium,1,Freehold,12,Rest of Central Region,11 to 15
THE TRILINQ,"1,560,000",914.94,"1,705",Jan-22,JALAN LEMPENG,Resale,Strata,85,"18,353",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,31 to 35
THE BOTANIC ON LLOYD,"6,880,000","3,584.41","1,919",Jan-22,LLOYD ROAD,Resale,Strata,333,"20,661",-,Condominium,1,Freehold,09,Core Central Region,01 to 05
EIGHT RIVERSUITES,"1,198,000",699.66,"1,712",Jan-22,WHAMPOA EAST,Resale,Strata,65,"18,431",-,Condominium,1,99 yrs lease commencing from 2011,12,Rest of Central Region,21 to 25
ST MARTIN RESIDENCE,"1,450,000",602.78,"2,406",Jan-22,ST. MARTIN'S DRIVE,Resale,Strata,56,"25,893",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
ALEXIS,"1,100,000",807.3,"1,363",Jan-22,ALEXANDRA ROAD,Resale,Strata,75,"14,667",-,Apartment,1,Freehold,03,Rest of Central Region,06 to 10
THE SUNNY SPRING,"1,560,000","1,194.8","1,306",Jan-22,LORONG 40 GEYLANG,Resale,Strata,111,"14,054",-,Apartment,1,Freehold,14,Rest of Central Region,06 to 10
CARIBBEAN AT KEPPEL BAY,"2,970,000","1,636.13","1,815",Jan-22,KEPPEL BAY DRIVE,Resale,Strata,152,"19,539",-,Condominium,1,99 yrs lease commencing from 1999,04,Rest of Central Region,01 to 05
THE INSPIRA,"2,088,000",925.7,"2,256",Jan-22,ARNASALAM CHETTY ROAD,Resale,Strata,86,"24,279",-,Condominium,1,Freehold,09,Core Central Region,06 to 10
THE WHARF RESIDENCE,"2,300,000","1,065.64","2,158",Jan-22,TONG WATT ROAD,Resale,Strata,99,"23,232",-,Condominium,1,999 yrs lease commencing from 1841,09,Core Central Region,11 to 15
DOVER PARKVIEW,"1,050,000",936.47,"1,121",Jan-22,DOVER RISE,Resale,Strata,87,"12,069",-,Condominium,1,99 yrs lease commencing from 1993,05,Rest of Central Region,06 to 10
AVALON,"3,390,000","1,765.3","1,920",Jan-22,ANDERSON ROAD,Resale,Strata,164,"20,671",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
