Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
MAYFLOWER GARDENS,"6,980,000","4,084.94","1,709",Jan-24,MAYFLOWER CRESCENT,Resale,Land,379.5,"18,393",-,Semi-Detached House,1,Freehold,20,Outside Central Region,-
HENLEY GARDENS,"2,700,000","1,650.12","1,636",Jan-24,JALAN ARIF,Resale,Land,153.3,"17,613",-,Terrace House,1,99 yrs lease commencing from 1996,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"13,990,000","5,880.37","2,379",Jan-24,DUCHESS AVENUE,Resale,Land,546.3,"25,609",-,Detached House,1,999 yrs lease commencing from 1875,10,Core Central Region,-
MACPHERSON GARDEN ESTATE,"3,180,000","1,439.15","2,210",Jan-24,JALAN KEMAJUAN,Resale,Land,133.7,"23,785",-,Terrace House,1,Freehold,13,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"6,300,000","3,059.13","2,059",Jan-24,PLANTATION AVENUE,Resale,Land,284.2,"22,167",-,Terrace House,1,Freehold,19,Outside Central Region,-
SERANGOON GARDEN ESTATE,"3,600,000","2,157.11","1,669",Jan-24,BRIDPORT AVENUE,Resale,Land,200.4,"17,964",-,Terrace House,1,999 yrs lease commencing from 1954,19,Outside Central Region,-
ISLAND GARDENS,"4,728,000","2,321.79","2,036",Jan-24,ISLAND GARDENS WALK,Resale,Land,215.7,"21,919",-,Terrace House,1,Freehold,20,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"26,500,000","12,870.51","2,059",Jan-24,GALLOP PARK ROAD,Resale,Land,"1,195.7","22,163",-,Detached House,1,Freehold,10,Core Central Region,-
VILLA VERDE,"2,678,000","2,152.8","1,244",Jan-24,VERDE AVENUE,Resale,Land,200,"13,390",-,Terrace House,1,99 yrs lease commencing from 1997,23,Outside Central Region,-
THOMSON GARDEN ESTATE,"2,900,000",893.41,"3,246",Jan-24,JALAN CHEMPAH,Resale,Land,83,"34,940",-,Terrace House,1,Freehold,20,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"2,750,000","3,299.17",834,Jan-24,EASTWOOD TERRACE,Resale,Land,306.5,"8,972",-,Terrace House,1,99 yrs lease commencing from 1995,16,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,510,000","1,396.09","3,230",Jan-24,HILLSIDE TERRACE,Resale,Land,129.7,"34,773",-,Terrace House,1,999 yrs lease commencing from 1878,19,Outside Central Region,-
PICARDY GARDENS,"3,940,000","2,309.95","1,706",Jan-24,JALAN PARI BURONG,Resale,Land,214.6,"18,360",-,Terrace House,1,Freehold,16,Outside Central Region,-
