Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
LAGOON VIEW,"1,880,000","1,646.89","1,142",Nov-22,MARINE PARADE ROAD,Resale,Strata,153,"12,288",-,Apartment,1,99 yrs lease commencing from 1977,15,Outside Central Region,16 to 20
VUE 8 RESIDENCE,"1,400,000","1,033.34","1,355",Nov-22,PASIR RIS HEIGHTS,Resale,Strata,96,"14,583",-,Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,11 to 15
HILLVIEW PARK,"1,780,000","1,248.62","1,426",Nov-22,HILLVIEW AVENUE,Resale,Strata,116,"15,345",-,Condominium,1,Freehold,23,Outside Central Region,11 to 15
PRIMO RESIDENCES,"2,000,000","1,722.24","1,161",Nov-22,JALAN PELIKAT,Resale,Strata,160,"12,500",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
EUPHONY GARDENS,"1,080,000","1,194.8",904,Nov-22,JALAN MATA AYER,Resale,Strata,111,"9,730",-,Condominium,1,99 yrs lease commencing from 1998,27,Outside Central Region,01 to 05
THE GALE,"760,000",688.9,"1,103",Nov-22,FLORA ROAD,Resale,Strata,64,"11,875",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
VIBES @ KOVAN,"705,000",495.14,"1,424",Nov-22,KOVAN ROAD,Resale,Strata,46,"15,326",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
NEPTUNE COURT,"1,580,000","1,636.13",966,Nov-22,MARINE VISTA,Resale,Strata,152,"10,395",-,Apartment,1,99 yrs lease commencing from 1975,15,Outside Central Region,11 to 15
ESTELLA GARDENS,"1,550,000","1,485.43","1,043",Nov-22,FLORA ROAD,Resale,Strata,138,"11,232",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
THE TENNERY,"770,000",613.55,"1,255",Nov-22,WOODLANDS ROAD,Resale,Strata,57,"13,509",-,Apartment,1,99 yrs lease commencing from 2010,23,Outside Central Region,11 to 15
WATERFRONT KEY,"1,425,000",968.76,"1,471",Nov-22,BEDOK RESERVOIR ROAD,Resale,Strata,90,"15,833",-,Condominium,1,99 yrs lease commencing from 2007,16,Outside Central Region,01 to 05
ECO SANCTUARY,"1,800,000","1,162.51","1,548",Nov-22,CHESTNUT AVENUE,Resale,Strata,108,"16,667",-,Condominium,1,99 yrs lease commencing from 2012,23,Outside Central Region,06 to 10
THE WATERSIDE,"4,160,000","2,411.14","1,725",Nov-22,TANJONG RHU ROAD,Resale,Strata,224,"18,571",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
WATERVIEW,"988,000",925.7,"1,067",Nov-22,TAMPINES AVENUE 1,Resale,Strata,86,"11,488",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,01 to 05
THE MINTON,"870,000",624.31,"1,394",Nov-22,HOUGANG STREET 11,Resale,Strata,58,"15,000",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,01 to 05
THE MAKENA,"2,500,000","1,291.68","1,935",Nov-22,MEYER ROAD,Resale,Strata,120,"20,833",-,Condominium,1,Freehold,15,Rest of Central Region,11 to 15
PEBBLE BAY,"3,600,000","1,894.46","1,900",Nov-22,TANJONG RHU ROAD,Resale,Strata,176,"20,455",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,11 to 15
PANDAN VALLEY,"2,800,000","2,131.27","1,314",Nov-22,PANDAN VALLEY,Resale,Strata,198,"14,141",-,Condominium,1,Freehold,21,Rest of Central Region,01 to 05
THE GREENWICH,"1,050,000",882.65,"1,190",Nov-22,SELETAR ROAD,Resale,Strata,82,"12,805",-,Condominium,1,99 yrs lease commencing from 2009,28,Outside Central Region,01 to 05
