Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
HILLSTA,"678,000",570.49,"1,188",Jun-22,PHOENIX ROAD,Resale,Strata,53,"12,792",-,Condominium,1,99 yrs lease commencing from 2011,23,Outside Central Region,01 to 05
KINGSFORD WATERBAY,"1,630,000","1,259.39","1,294",Jun-22,UPPER SERANGOON VIEW,Resale,Strata,117,"13,932",-,Apartment,1,99 yrs lease commencing from 2014,19,Outside Central Region,16 to 20
LAKEVILLE,"1,988,888","1,270.15","1,566",Jun-22,JURONG LAKE LINK,Resale,Strata,118,"16,855",-,Condominium,1,99 yrs lease commencing from 2013,22,Outside Central Region,11 to 15
RIVERBANK @ FERNVALE,"1,620,000","1,237.86","1,309",Jun-22,FERNVALE CLOSE,Resale,Strata,115,"14,087",-,Condominium,1,99 yrs lease commencing from 2013,28,Outside Central Region,16 to 20
URBAN VISTA,"695,000",441.32,"1,575",Jun-22,TANAH MERAH KECHIL LINK,Resale,Strata,41,"16,951",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,06 to 10
WATER PLACE,"2,090,000","1,496.2","1,397",Jun-22,TANJONG RHU ROAD,Resale,Strata,139,"15,036",-,Condominium,1,99 yrs lease commencing from 1998,15,Rest of Central Region,01 to 05
LIVIA,"1,710,000","1,539.25","1,111",Jun-22,PASIR RIS GROVE,Resale,Strata,143,"11,958",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,06 to 10
RIO VISTA,"1,130,000","1,237.86",913,Jun-22,UPPER SERANGOON VIEW,Resale,Strata,115,"9,826",-,Condominium,1,99 yrs lease commencing from 2001,19,Outside Central Region,06 to 10
J GATEWAY,"922,000",505.91,"1,822",Jun-22,GATEWAY DRIVE,Resale,Strata,47,"19,617",-,Condominium,1,99 yrs lease commencing from 2012,22,Outside Central Region,06 to 10
RIVERSAILS,"1,030,000",850.36,"1,211",Jun-22,UPPER SERANGOON CRESCENT,Resale,Strata,79,"13,038",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
PALM GARDENS,"1,072,000","1,216.33",881,Jun-22,HONG SAN WALK,Resale,Strata,113,"9,487",-,Condominium,1,99 yrs lease commencing from 1996,23,Outside Central Region,06 to 10
RIVERBANK @ FERNVALE,"680,000",495.14,"1,373",Jun-22,FERNVALE CLOSE,Resale,Strata,46,"14,783",-,Condominium,1,99 yrs lease commencing from 2013,28,Outside Central Region,06 to 10
THE INFLORA,"615,000",462.85,"1,329",Jun-22,FLORA DRIVE,Resale,Strata,43,"14,302",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,06 to 10
THE NAUTICAL,"1,370,000","1,388.56",987,Jun-22,JALAN SENDUDOK,Resale,Strata,129,"10,620",-,Condominium,1,99 yrs lease commencing from 2011,27,Outside Central Region,01 to 05
SEASONS PARK,"1,950,000","1,959.05",995,Jun-22,YIO CHU KANG ROAD,Resale,Strata,182,"10,714",-,Condominium,1,99 yrs lease commencing from 1995,26,Outside Central Region,11 to 15
THE TAPESTRY,"748,000",441.32,"1,695",Jun-22,TAMPINES STREET 86,Resale,Strata,41,"18,244",-,Condominium,1,99 yrs lease commencing from 2017,18,Outside Central Region,11 to 15
BARTLEY RESIDENCES,"1,920,000","1,377.79","1,394",Jun-22,LORONG HOW SUN,Resale,Strata,128,"15,000",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
EIGHT COURTYARDS,"1,590,000","1,377.79","1,154",Jun-22,CANBERRA DRIVE,Resale,Strata,128,"12,422",-,Condominium,1,99 yrs lease commencing from 2010,27,Outside Central Region,11 to 15
FOREST WOODS,"945,000",505.91,"1,868",Jun-22,LORONG LEW LIAN,Resale,Strata,47,"20,106",-,Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,06 to 10
BALLOTA PARK CONDOMINIUM,"1,400,000","1,420.85",985,Jun-22,MARIAM WAY,Resale,Strata,132,"10,606",-,Condominium,1,Freehold,17,Outside Central Region,06 to 10
SELETAR PARK RESIDENCE,"1,702,000","1,915.99",888,Jun-22,SELETAR ROAD,Resale,Strata,178,"9,562",-,Condominium,1,99 yrs lease commencing from 2011,28,Outside Central Region,01 to 05
THE TENNERY,"1,050,000",936.47,"1,121",Jun-22,WOODLANDS ROAD,Resale,Strata,87,"12,069",-,Apartment,1,99 yrs lease commencing from 2010,23,Outside Central Region,11 to 15
PALM ISLES,"1,160,000","1,119.46","1,036",Jun-22,FLORA DRIVE,Resale,Strata,104,"11,154",-,Condominium,1,99 yrs lease commencing from 2011,17,Outside Central Region,01 to 05
