Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
HOLLAND HILL PARK,"2,200,000","1,463.9","1,503",Jun-20,HOLLAND HILL,Resale,Strata,136,"16,176",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
THE COAST AT SENTOSA COVE,"3,300,000","2,055.92","1,605",Jun-20,OCEAN DRIVE,Resale,Strata,191,"17,277",-,Condominium,1,99 yrs lease commencing from 2006,04,Core Central Region,01 to 05
38 JERVOIS,"1,683,180",818.06,"2,058",Jun-20,JERVOIS ROAD,Resale,Strata,76,"22,147",-,Apartment,1,Freehold,10,Core Central Region,01 to 05
MARINA ONE RESIDENCES,"1,644,034",710.42,"2,314",Jun-20,MARINA WAY,Resale,Strata,66,"24,910",-,Apartment,1,99 yrs lease commencing from 2011,01,Core Central Region,16 to 20
THE MIDAS,"1,050,000","1,140.98",920,Jun-20,LORONG 30 GEYLANG,Resale,Strata,106,"9,906",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
REFLECTIONS AT KEPPEL BAY,"2,550,000","1,851.41","1,377",Jun-20,KEPPEL BAY VIEW,Resale,Strata,172,"14,826",-,Condominium,1,99 yrs lease commencing from 2006,04,Rest of Central Region,06 to 10
38 JERVOIS,"1,968,888","1,097.93","1,793",Jun-20,JERVOIS ROAD,Resale,Strata,102,"19,303",-,Apartment,1,Freehold,10,Core Central Region,01 to 05
SKYSUITES@ANSON,"900,000",365.98,"2,459",Jun-20,ENGGOR STREET,Resale,Strata,34,"26,471",-,Apartment,1,99 yrs lease commencing from 2008,02,Core Central Region,36 to 40
SIMS URBAN OASIS,"688,000",441.32,"1,559",Jun-20,SIMS DRIVE,Resale,Strata,41,"16,780",-,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,01 to 05
DAISY SUITES,"1,500,000","1,280.92","1,171",Jun-20,DAISY ROAD,Resale,Strata,119,"12,605",-,Apartment,1,Freehold,13,Outside Central Region,01 to 05
WEST BAY CONDOMINIUM,"720,000",850.36,847,Jun-20,WEST COAST CRESCENT,Resale,Strata,79,"9,114",-,Condominium,1,99 yrs lease commencing from 1991,05,Outside Central Region,01 to 05
PRINCIPAL GARDEN,"1,518,000",807.3,"1,880",Jun-20,PRINCE CHARLES CRESCENT,Resale,Strata,75,"20,240",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,11 to 15
TANGLIN VIEW,"2,680,000","2,012.87","1,331",Jun-20,PRINCE CHARLES CRESCENT,Resale,Strata,187,"14,332",-,Condominium,1,99 yrs lease commencing from 1997,03,Rest of Central Region,16 to 20
MARINA ONE RESIDENCES,"2,330,000","1,119.46","2,081",Jun-20,MARINA WAY,Resale,Strata,104,"22,404",-,Apartment,1,99 yrs lease commencing from 2011,01,Core Central Region,11 to 15
