LATITUDE,LONGITUDE,address,town,flat_type,floor_area_sqm,remaining_lease,bus_within_0.5,cbd_distance,hawker_distance,mall_within_2.0,mrtlrt_distance,park_distance,school_within_2.0,supermarket_within_0.5,resale_price,region
1.38931,103.87873,413A FERNVALE LINK,SENGKANG,4 ROOM,95.0,86,7.0,12.019573,0.313625,5.0,0.346672,0.439637,14.0,2.0,429710.364,North East
1.38931,103.87873,413A FERNVALE LINK,SENGKANG,5 ROOM,114.0,86,7.0,12.019573,0.313625,5.0,0.346672,0.439637,14.0,2.0,542152.0,North East
1.38931,103.8911,301B ANCHORVALE DR,SENGKANG,4 ROOM,90.0,82,22.0,12.434268,0.778706,7.0,0.292641,1.361739,28.0,2.0,443770.182,North East
1.38931,103.8911,301B ANCHORVALE DR,SENGKANG,5 ROOM,110.0,83,22.0,12.434268,0.778706,7.0,0.292641,1.361739,28.0,2.0,496611.232,North East
1.38931,103.89378,217A COMPASSVALE DR,SENGKANG,4 ROOM,92.0,95,26.0,12.542736,0.780617,7.0,0.305223,1.138713,28.0,3.0,678528.774,North East
1.38931,103.89378,217A COMPASSVALE DR,SENGKANG,5 ROOM,112.0,95,26.0,12.542736,0.780617,7.0,0.305223,1.138713,28.0,3.0,809183.9909999999,North East
1.38932,103.8805,415C FERNVALE LINK,SENGKANG,4 ROOM,93.0,95,7.0,12.071614,0.458019,5.0,0.308998,0.519722,18.0,1.0,520979.47200000007,North East
1.38932,103.8805,415C FERNVALE LINK,SENGKANG,5 ROOM,113.0,95,7.0,12.071614,0.458019,5.0,0.308998,0.519722,18.0,1.0,687960.072,North East
1.38934,103.90308,131 RIVERVALE ST,SENGKANG,4 ROOM,90.0,81,20.0,12.96712,1.415599,6.0,0.304628,0.263454,28.0,1.0,390349.44,North East
1.38936,103.9104,180D RIVERVALE CRES,SENGKANG,2 ROOM,47.0,96,6.0,13.346798,2.145827,5.0,0.557799,0.780968,21.0,0.0,269255.49,North East
1.38936,103.9104,180D RIVERVALE CRES,SENGKANG,3 ROOM,67.0,96,6.0,13.346798,2.145827,5.0,0.557799,0.780968,21.0,0.0,350668.3125,North East
1.38938,103.90371,140 RIVERVALE ST,SENGKANG,4 ROOM,92.0,80,21.0,13.00092,1.476172,6.0,0.246586,0.249226,28.0,1.0,400753.44,North East
1.3894,103.88804,307A ANCHORVALE RD,SENGKANG,4 ROOM,90.0,83,18.0,12.328303,0.832619,7.0,0.234387,1.195018,27.0,0.0,408229.8075,North East
1.3894,103.88804,307A ANCHORVALE RD,SENGKANG,5 ROOM,110.0,83,18.0,12.328303,0.832619,7.0,0.234387,1.195018,27.0,0.0,498646.254,North East
