,private_lat,private_lon,school_lat,school_lon,distance
2985,1.37901413540146,103.961386227639,1.3726,103.9595,0.739654
2986,1.37905482184639,103.961097744973,1.3726,103.9595,0.735556
2987,1.37905830537423,103.831320410347,1.3761,103.8357,0.586989
2988,1.37908988698315,103.960558475679,1.3726,103.9595,0.727222
2989,1.37914470426804,103.94468894976,1.375,103.9453,0.463318
2990,1.37939195187997,103.96368774531,1.3724,103.963,0.776914
2991,1.37940391332402,103.862787123467,1.3699,103.8692,1.270319
2992,1.37943779523769,103.944484144173,1.375,103.9453,0.499038
2993,1.37949806579658,103.96427192174,1.3724,103.963,0.79753
2994,1.37954300849291,103.865149792346,1.3699,103.8692,1.15763
2995,1.37963530778824,103.943403375787,1.3777,103.9395,0.484247
2996,1.3797098272269,103.829200705622,1.3761,103.8357,0.82612
2997,1.37972709158017,103.760191017381,1.3838,103.7601,0.450475
2998,1.37975525811299,103.864515318637,1.3699,103.8692,1.208034
2999,1.37976059991781,103.963077852592,1.3724,103.963,0.813944
3000,1.37979661650275,103.831791410723,1.3761,103.8357,0.596895
3001,1.37989464950184,103.96274397719,1.3724,103.963,0.82921
3002,1.37992376908674,103.887491361899,1.3775,103.8854,0.354961
3003,1.37993635799156,103.935495173706,1.3767,103.9376,0.427706
3004,1.37995185155406,103.867396301451,1.3729,103.8747,1.126359
3005,1.37996162580863,103.873509980953,1.3729,103.8747,0.79199
3006,1.37997884739248,103.862612495287,1.3699,103.8692,1.333974
3007,1.38001020021372,103.829668760051,1.3761,103.8357,0.798408
3008,1.38001083900926,103.898739652792,1.3813,103.8989,0.143661
3009,1.38005079580315,103.96390014473,1.3724,103.963,0.851896
3010,1.38021784521935,103.899857253068,1.3813,103.8989,0.160209
3011,1.38022453673407,103.964446142905,1.3724,103.963,0.880038
3012,1.38023739502373,103.830574130746,1.3761,103.8357,0.731236
3013,1.38029080909587,103.964674596342,1.3724,103.963,0.892206
3014,1.38032271616461,103.873755869671,1.3729,103.8747,0.827464
3015,1.3804163003519,103.943706742355,1.3777,103.9395,0.556223
3016,1.38044509461748,103.944359245034,1.375,103.9453,0.611125
3017,1.3804716903677,103.945023117184,1.375,103.9453,0.605816
3018,1.38052698152156,103.873485130356,1.3729,103.8747,0.854121
3019,1.38053648795689,103.830960991161,1.3761,103.8357,0.720275
3020,1.38059148518834,103.867484313587,1.3729,103.8747,1.169684
3021,1.38059481524565,103.945667823911,1.375,103.9453,0.619999
3022,1.38072574908428,103.830305922187,1.3761,103.8357,0.788655
3023,1.38077681373622,103.946289550902,1.375,103.9453,0.648194
3024,1.38088677986842,103.873730427824,1.3781,103.8811,0.87612
3025,1.3809657561666,103.900820298646,1.3813,103.8989,0.216877
3026,1.38104672286902,103.867095378388,1.3729,103.8747,1.236004
3027,1.38104718431379,103.836494596458,1.3761,103.8357,0.554136
3028,1.38108231024514,103.87345337645,1.3781,103.8811,0.912635
3029,1.38117296444205,103.833002562288,1.3761,103.8357,0.636216
3030,1.38117609488719,103.894377770931,1.3829,103.8958,0.247765
3031,1.381243086918,103.829953642153,1.3761,103.8357,0.855788
3032,1.38125149368121,103.892365947007,1.3841,103.8911,0.345046
3033,1.38125247805632,103.868309426891,1.3729,103.8747,1.165668
3034,1.38125622942809,103.832416693867,1.3761,103.8357,0.677186
3035,1.381284454557,103.902877565841,1.3813,103.8989,0.442656
3036,1.38143238111123,103.863043130131,1.3699,103.8692,1.447616
3037,1.38156517978208,103.87377112809,1.3781,103.8811,0.90113
3038,1.38160509277,103.862252094607,1.3747,103.8515,1.419425
3039,1.38171310724704,103.830165804211,1.3761,103.8357,0.874383
3040,1.38171959435797,103.875933489157,1.3781,103.8811,0.700555
3041,1.38189286322029,103.891374413035,1.3841,103.8911,0.245957
3042,1.38192465649776,103.830418344353,1.3761,103.8357,0.871953
3043,1.38193442744681,103.940839678846,1.3777,103.9395,0.491385
3044,1.38205286891444,103.828211857123,1.3761,103.8357,1.061945
3045,1.38205333331051,103.861792257461,1.3747,103.8515,1.404657
3046,1.38231949556004,103.861964696274,1.3747,103.8515,1.4374
3047,1.38248193412919,103.86467344503,1.3902,103.8741,1.352349
3048,1.3825354266759,103.875942653118,1.3781,103.8811,0.754953
3049,1.38259793711842,103.861415121851,1.3747,103.8515,1.407207
3050,1.38262935978221,103.865303725961,1.3902,103.8741,1.288039
3051,1.38271176294189,103.876494040454,1.3781,103.8811,0.723041
3052,1.38279199417322,103.830854030921,1.3761,103.8357,0.915637
3053,1.38285169406133,103.86458552237,1.3902,103.8741,1.334675
3054,1.38289565248822,103.860231120819,1.3747,103.8515,1.32868
3055,1.38291612857094,103.836978305026,1.3841,103.8414,0.509193
3056,1.38292037495742,103.749390816945,1.3816,103.7471,0.293786
3057,1.38292628780836,103.871272269425,1.3902,103.8741,0.863662
3058,1.3830037083264,103.859645503388,1.3747,103.8515,1.290266
3059,1.38302397399306,103.870689089973,1.3902,103.8741,0.87961
3060,1.38308686359064,103.870041056981,1.3902,103.8741,0.907015
3061,1.3831061797156,103.864075310229,1.3902,103.8741,1.363777
3062,1.3831970375554,103.869467884058,1.3902,103.8741,0.930245
3063,1.38320877445053,103.838551545698,1.3841,103.8414,0.331961
3064,1.38328619494119,103.868953201555,1.3902,103.8741,0.955258
3065,1.38333019306037,103.872428862457,1.3902,103.8741,0.782063
3066,1.38336405676072,103.868429976477,1.3902,103.8741,0.984643
3067,1.38358928801262,103.865485509185,1.3902,103.8741,1.205571
3068,1.38362727573634,103.866616167256,1.3902,103.8741,1.105375
3069,1.38368229415478,103.94344577664,1.3777,103.9395,0.793973
3070,1.38375964625203,103.748580762329,1.3816,103.7471,0.290142
3071,1.38376985635694,103.863754347309,1.3902,103.8741,1.353188
3072,1.38379450967901,103.875529143429,1.3902,103.8741,0.725924
3073,1.38387870579414,103.861311384434,1.3747,103.8515,1.490739
3074,1.38388355752479,103.860647623181,1.3747,103.8515,1.437893
3075,1.38394664472847,103.873268230389,1.3902,103.8741,0.697633
3076,1.38407858074655,103.862335585359,1.3902,103.8741,1.473851
3077,1.38417967897415,103.874131505136,1.3902,103.8741,0.665706
3078,1.38433231906465,103.875902631936,1.3902,103.8741,0.679124
3079,1.38436749012019,103.84241031276,1.3841,103.8414,0.11626
3080,1.38446287685656,103.748111309103,1.3816,103.7471,0.335974
