,private_lat,private_lon,mrtlrt_lat,mrtlrt_lon,distance
3162,1.38890524889972,103.861277681589,1.39194419246154,103.876279656924,1.703005
3163,1.38908644846072,103.854039539138,1.3817576070024,103.844800823243,1.309129
3164,1.3890975112341,103.855552049272,1.3817576070024,103.844800823243,1.445773
3165,1.38918687753403,103.835924739181,1.38493120661204,103.836347461689,0.472916
3166,1.3893299093502,103.8373772228,1.38493120661204,103.836347461689,0.499704
3167,1.3893458855585,103.770294815646,1.38775640790904,103.769659653698,0.189438
3168,1.38935259371086,103.837861781222,1.38493120661204,103.836347461689,0.517125
3169,1.3895081571476,103.855787377623,1.3817576070024,103.844800823243,1.493111
3170,1.38952632477413,103.856158183835,1.3817576070024,103.844800823243,1.528214
3171,1.38961545416986,103.895880315991,1.39152768192613,103.895416080688,0.217665
3172,1.38964063492322,103.856421072051,1.3817576070024,103.844800823243,1.559528
3173,1.3896528603508,103.836079200364,1.38493120661204,103.836347461689,0.522949
3174,1.38969073093565,103.857170017555,1.3817576070024,103.844800823243,1.632277
3175,1.38982610471573,103.752579350544,1.39754963325841,103.747402093098,1.030207
3176,1.39000830363697,103.851084946228,1.3817576070024,103.844800823243,1.149525
3177,1.39003202392387,103.834658679894,1.38493120661204,103.836347461689,0.59451
3178,1.39004506602213,103.860607698462,1.39194419246154,103.876279656924,1.756681
3179,1.39042143776951,103.752512025579,1.39754963325841,103.747402093098,0.971927
3180,1.39073624030461,103.837036693468,1.38493120661204,103.836347461689,0.646458
3181,1.39086781070277,103.904188880213,1.39156444530632,103.905890482682,0.204434
3182,1.39092856649491,103.912165255152,1.39392635060914,103.912563535014,0.33443
3183,1.39104888273859,103.902969259017,1.39156444530632,103.905890482682,0.330055
3184,1.39105278265426,103.752266317438,1.39754963325841,103.747402093098,0.899508
3185,1.39117432850927,103.855004430326,1.3817576070024,103.844800823243,1.540661
3186,1.39133223654121,103.901193224577,1.39447878350847,103.900555277697,0.355099
3187,1.39135111898229,103.895997534531,1.39157444242822,103.895436259236,0.067167
3188,1.39139752452014,103.900374331539,1.39447878350847,103.900555277697,0.341305
3189,1.39149226761388,103.850454975085,1.3817576070024,103.844800823243,1.246833
3190,1.39162165385772,103.851276293255,1.3817576070024,103.844800823243,1.307279
3191,1.39162323678823,103.752304829289,1.39754963325841,103.747402093098,0.852715
3192,1.39168887721389,103.900386351553,1.39447878350847,103.900555277697,0.309066
3193,1.39184675107192,103.913039039387,1.39392635060914,103.912563535014,0.235962
3194,1.39185235684708,103.851179877786,1.3817576070024,103.844800823243,1.322849
3195,1.39191398453949,103.852051505657,1.3817576070024,103.844800823243,1.382867
3196,1.39192992015156,103.851637514115,1.3817576070024,103.844800823243,1.357959
3197,1.39201362391117,103.884010362877,1.38933878100909,103.885937358519,0.365334
3198,1.39221483455721,103.750867683871,1.39754963325841,103.747402093098,0.704784
3199,1.39283623462094,103.87967806826,1.39209287233916,103.880157875405,0.098018
3200,1.39323150873149,103.752300320404,1.39754963325841,103.747402093098,0.724656
3201,1.39402092122499,103.881215058062,1.39209287233916,103.880157875405,0.243502
3202,1.39445329185302,103.751341514747,1.39754963325841,103.747402093098,0.556257
3203,1.39459641963935,103.881117176349,1.39209287233916,103.880157875405,0.296702
3204,1.39533196172236,103.879513735252,1.39209287233916,103.880157875405,0.365265
3205,1.3954606040096,103.873513656117,1.39743699348129,103.875655371803,0.323369
3206,1.39638961318515,103.875132778517,1.39743699348129,103.875655371803,0.129596
3207,1.39651923608604,103.818939564749,1.39810837963179,103.817924474193,0.208899
3208,1.39688331431317,103.820581803319,1.39810837963179,103.817924474193,0.325274
3209,1.39698419584592,103.89439939012,1.39624891591376,103.893907908207,0.097989
3210,1.39706271823612,103.818803914388,1.39810837963179,103.817924474193,0.151484
3211,1.39715385699196,103.81938410633,1.39810837963179,103.817924474193,0.193716
3212,1.39729776002895,103.746524986925,1.39754963325841,103.747402093098,0.101506
3213,1.39754493978614,103.912949838487,1.39392635060914,103.912563535014,0.402428
3214,1.39765497810309,103.820073122099,1.39810837963179,103.817924474193,0.244315
3215,1.39774827163461,103.751580705894,1.39754963325841,103.747402093098,0.465542
3216,1.39782979206788,103.818965017309,1.39810837963179,103.817924474193,0.119826
3217,1.39789956310633,103.872113646808,1.39743699348129,103.875655371803,0.397451
3218,1.39790429560192,103.917328758876,1.39963850973482,103.916394978996,0.218108
3219,1.39793268410879,103.87172284174,1.39743699348129,103.875655371803,0.441057
3220,1.39800703570928,103.872624406538,1.39743699348129,103.875655371803,0.343145
3221,1.3980781929665,103.821934219404,1.39810837963179,103.817924474193,0.446243
3222,1.3981475833764,103.872190046897,1.39743699348129,103.875655371803,0.393567
3223,1.39816341268333,103.825549674876,1.39810837963179,103.817924474193,0.848604
3224,1.3982973428565,103.871890493481,1.39743699348129,103.875655371803,0.429645
3225,1.39855878750184,103.825928247783,1.39810837963179,103.817924474193,0.892104
3226,1.39858781966473,103.874632339147,1.39743699348129,103.875655371803,0.170748
3227,1.39872138273536,103.892171293932,1.39624891591376,103.893907908207,0.334804
3228,1.39874738449482,103.750531821149,1.39754963325841,103.747402093098,0.372628
3229,1.39879708371882,103.825369090055,1.39810837963179,103.817924474193,0.831978
3230,1.39884312760123,103.818460429346,1.39810837963179,103.817924474193,0.100788
3231,1.39901694807935,103.913046424081,1.40235087967635,103.912631851806,0.371525
3232,1.39901716420001,103.89098971955,1.39716190272859,103.889382860886,0.272143
3233,1.39931151971397,103.748806666421,1.39754963325841,103.747402093098,0.249776
3234,1.39964154003857,103.822704758356,1.39810837963179,103.817924474193,0.558341
3235,1.40017466178963,103.824006440679,1.39810837963179,103.817924474193,0.714364
3236,1.40037109286611,103.824990452586,1.39810837963179,103.817924474193,0.825193
3237,1.40051521519516,103.870343555666,1.39743699348129,103.875655371803,0.682124
3238,1.4006695058201,103.823236447699,1.39810837963179,103.817924474193,0.655484
3239,1.40095786533886,103.897803793847,1.4052096471264,103.897234408314,0.474391
3240,1.40097084130153,103.907669080474,1.399361706921,103.905917440039,0.263929
3241,1.40126905129977,103.915973926594,1.39963850973482,103.916394978996,0.186286
3242,1.40168540715792,103.89768446125,1.4052096471264,103.897234408314,0.392898
3243,1.40242331222037,103.813925698667,1.39810837963179,103.817924474193,0.652442
3244,1.40263778458236,103.818205033094,1.39810837963179,103.817924474193,0.501811
