private_lat,private_lon,within_0.1,within_0.3,within_0.5,within_1,within_1.5,within_2.0
1.23978494620582,103.83727712151,0,0,0,0,0,0
1.24005848546927,103.830936322258,0,0,0,0,0,0
1.24128528590103,103.8401002733,0,0,0,0,0,0
1.24234683810088,103.83816149913,0,0,0,0,0,0
1.24296399581113,103.837106213588,0,0,0,0,0,0
1.24297424636053,103.839164641252,0,0,0,0,0,0
1.24374601223412,103.842511120506,0,0,0,0,0,0
1.24678687668364,103.844402093991,0,0,0,0,0,0
1.2491304624867,103.841532989339,0,0,0,0,0,0
1.24929537923786,103.84245545438,0,0,0,0,0,0
1.25000204938227,103.844128104507,0,0,0,0,0,0
1.25004849376758,103.846319306506,0,0,0,0,0,0
1.25004905350305,103.841633373557,0,0,0,0,0,0
1.25028020779828,103.846845622682,0,0,0,0,0,0
1.25177730904166,103.847671939013,0,0,0,0,0,0
1.25184506159069,103.846059186654,0,0,0,0,0,0
1.25221149686401,103.845330154013,0,0,0,0,0,0
1.25228711526676,103.84540862429,0,0,0,0,0,0
1.26489010829928,103.816454088109,0,0,0,0,2,4
1.26617727280392,103.823388742056,0,0,0,1,3,4
1.26618589994556,103.822744661427,0,0,0,1,3,4
1.26747019767944,103.815542991374,0,0,0,0,3,4
1.26816216653267,103.814379904552,0,0,0,0,3,6
1.2689003201228,103.824635539269,0,0,0,3,3,6
1.27035025509729,103.813967319772,0,0,0,1,3,6
1.2708927315184,103.824144356363,0,0,1,3,4,7
1.27201238848312,103.80851431688,0,0,1,1,1,5
1.27224289288465,103.827478990765,0,0,2,3,5,7
1.27247694326577,103.807817491838,0,0,1,1,1,5
1.27342074069167,103.837938952301,0,0,1,1,3,6
1.2734661134853,103.845580792511,0,0,0,1,1,3
1.27388660363944,103.846235542245,0,0,0,1,1,2
1.27426245685335,103.846025087372,0,0,0,1,1,3
1.27461794103822,103.844319553688,0,0,1,1,1,3
1.27464397804711,103.844741587315,0,0,0,1,1,3
1.27469115793838,103.794950672516,0,0,0,0,0,1
1.27484974836861,103.842184815618,0,1,1,1,2,3
1.27516997523174,103.844496312645,0,0,0,1,2,3
1.27527115223131,103.83683222505,0,0,1,2,4,6
1.27550106882151,103.841596022941,0,1,1,1,3,5
1.27559528527257,103.837559859708,0,1,1,1,3,6
1.27581120588262,103.845955084997,0,0,0,1,1,3
1.27587483521415,103.840480994349,1,1,1,1,3,5
1.27603511606189,103.837502046362,0,1,1,1,3,7
1.27624326037685,103.825156243805,0,1,3,4,5,11
1.27631643556314,103.823679380408,0,2,2,4,6,11
1.27656571680744,103.825968001901,0,2,3,4,5,11
1.27671498507474,103.853326932298,0,0,0,0,1,1
1.27685386379359,103.791742171785,0,0,0,0,0,1
1.27686888047138,103.793176829437,0,0,0,0,0,1
1.27690165135904,103.837178791105,0,0,1,1,5,7
1.27705679882109,103.83802497808,0,1,1,1,3,7
1.2770605456674,103.791178704547,0,0,0,0,0,1
1.27708340707631,103.849181343548,0,0,0,0,1,2
1.27711736000318,103.845790152215,0,0,0,1,2,3
1.27715399003502,103.836948399168,0,0,1,2,5,8
1.2772283990831,103.838008339325,0,1,1,2,3,7
1.27727686078753,103.791318105519,0,0,0,0,0,1
1.27728558824322,103.793122156661,0,0,0,0,0,1
1.2774999857505,103.790310715951,0,0,0,0,0,0
1.27774637356665,103.793783926302,0,0,0,0,0,1
1.27795279258227,103.788283045426,0,0,0,0,0,0
1.27803124712698,103.84238791264,0,0,1,1,2,5
1.27815483994541,103.790501057662,0,0,0,0,0,0
1.27842710241318,103.791348743292,0,0,0,0,0,1
1.27866845329676,103.787767087156,0,0,0,0,0,0
1.27870866888886,103.792118994887,0,0,0,0,0,1
1.27880964969521,103.787553932401,0,0,0,0,0,0
1.27887893298214,103.790515732704,0,0,0,0,0,0
1.27892037252,103.785351854599,0,0,0,0,0,0
1.27925056413254,103.787154334976,0,0,0,0,0,0
1.27929478959373,103.850552555075,0,0,0,0,1,2
1.27940014288617,103.847329579148,0,0,0,1,2,2
1.27948670070186,103.785756186651,0,0,0,0,0,0
1.27960678744377,103.785048203742,0,0,0,0,0,0
1.279625798918,103.854987203774,0,0,0,0,0,1
1.27967720669913,103.792099423759,0,0,0,0,0,1
1.27980322314972,103.78590960328,0,0,0,0,0,0
1.27981505131498,103.788181557692,0,0,0,0,0,0
1.27982390925651,103.790247766425,0,0,0,0,0,0
1.2798626970369,103.790692823319,0,0,0,0,0,0
1.27990746779279,103.791466147015,0,0,0,0,0,1
1.27995836101667,103.793330073651,0,0,0,0,0,1
1.28004529331829,103.840358673254,0,0,0,2,3,6
1.28004981255227,103.791212119976,0,0,0,0,0,1
1.28018119780699,103.784824737346,0,0,0,0,0,0
1.28034497999593,103.852143277672,0,0,0,0,1,2
1.28044977841284,103.789706962151,0,0,0,0,0,0
1.28045085325468,103.791454479903,0,0,0,0,0,1
1.28055328985473,103.789301855854,0,0,0,0,0,0
1.28070938808957,103.785323249072,0,0,0,0,0,0
1.28071178129837,103.788536382694,0,0,0,0,0,0
1.28076943504219,103.852658562152,0,0,0,0,0,2
1.28082397634044,103.790728746282,0,0,0,0,0,0
1.28089264727621,103.783859936983,0,0,0,0,0,0
1.28093474456197,103.849822465734,0,0,0,0,1,2
1.28094771760363,103.783546603867,0,0,0,0,0,0
1.28115860781557,103.787759973633,0,0,0,0,0,0
1.28119672755422,103.783478346718,0,0,0,0,0,0
1.28121740269934,103.787276447216,0,0,0,0,0,0
1.28122139862594,103.785348226184,0,0,0,0,0,0
1.28126269290763,103.784829581457,0,0,0,0,0,0
1.28154862924483,103.846472570061,0,0,0,1,2,4
1.28156004152174,103.785709595421,0,0,0,0,0,0
1.28162632104242,103.784869452404,0,0,0,0,0,0
1.28168659607272,103.786723137986,0,0,0,0,0,0
1.28186096037926,103.830562111061,0,0,0,3,9,12
1.28191631054644,103.785193046527,0,0,0,0,0,0
1.28191694352023,103.785707663012,0,0,0,0,0,0
1.28217914161626,103.78408271893,0,0,0,0,0,0
1.28220135422008,103.803023756097,0,0,0,1,3,6
1.2822425556884,103.830533720291,0,0,0,3,9,12
1.28224701621897,103.783453562772,0,0,0,0,0,0
1.28242083270185,103.783142732009,0,0,0,0,0,0
1.28251708251467,103.786910425377,0,0,0,0,0,0
1.28263588582996,103.83018632791,0,0,0,3,9,12
1.28273291506553,103.830114614569,0,0,1,4,9,12
1.28275382565309,103.785347646917,0,0,0,0,0,0
1.28276774449777,103.783347843305,0,0,0,0,0,0
1.28350589483745,103.834492752536,0,0,1,2,7,9
1.28401388660814,103.829756642021,0,0,1,4,9,12
1.28404487854559,103.842590753293,0,0,0,2,3,6
1.28434128785856,103.82912604887,0,0,1,4,8,12
1.28499003747026,103.82889598252,0,0,1,4,8,13
1.28519576156367,103.827677219577,0,1,1,3,10,13
1.28577009981805,103.843980122838,0,0,0,1,3,4
1.28705859767551,103.82778753198,0,0,2,3,10,13
1.28711875378192,103.78012942949,0,0,0,0,0,4
1.28759518939869,103.803397287789,0,0,0,0,7,8
1.28783491011902,103.778343299539,0,0,0,0,0,4
1.28813624894878,103.778115825202,0,0,0,0,0,4
1.28814297750701,103.848933996224,0,0,0,0,2,5
1.28827756141374,103.776938265689,0,0,0,0,0,5
1.28845742826023,103.777344346542,0,0,0,0,0,5
1.2884862000316,103.844049441363,0,0,0,1,3,4
1.2885136991527,103.776626436441,0,0,0,0,0,5
1.28912345558753,103.775586391917,0,0,0,0,0,5
1.28948198551176,103.830085402755,0,0,0,5,6,13
1.28954829330892,103.777089281289,0,0,0,0,0,5
1.28956836796791,103.777381479121,0,0,0,0,0,5
1.2896097164683,103.841276389346,0,0,0,2,3,7
1.28969004585591,103.805470415063,0,0,0,3,7,8
1.28973648594562,103.774357517912,0,0,0,0,0,6
1.28983034198102,103.831843416909,0,0,0,5,5,11
1.28984245033113,103.778075197163,0,0,0,0,2,5
1.28998869553165,103.84921712944,0,0,0,0,2,5
1.29008339576408,103.839199219609,0,0,1,2,3,7
1.29021050421929,103.83756182148,0,0,2,2,3,8
1.29025396483741,103.805847898387,0,0,0,3,7,9
1.29026307473852,103.837158903917,0,0,2,2,4,8
1.29050566271653,103.822587341402,0,2,2,5,7,13
1.29054692058657,103.774606037683,0,0,0,0,0,6
1.29055340203602,103.81563289788,0,0,2,6,8,12
1.29056999681587,103.819000781728,0,0,1,6,8,13
1.29063353352349,103.776535477463,0,0,0,0,1,6
1.29072529149112,103.772114454747,0,0,0,0,1,6
1.29078080113526,103.837445495482,0,0,1,2,3,7
1.29087074155662,103.770066563415,0,0,0,0,1,4
1.2908847377725,103.774319608719,0,0,0,0,1,7
1.29092617225007,103.839799908617,0,0,0,2,3,7
1.29093691491922,103.838346278046,0,0,1,2,3,7
1.29094473172583,103.817000115258,0,0,1,6,8,12
1.29096399148778,103.817989855708,0,0,1,6,8,11
1.29106611229714,103.834498891605,0,0,1,2,5,9
1.29111208915593,103.837821344301,0,0,1,2,2,7
1.29123419998705,103.76933030729,0,0,0,0,1,4
