,hdb_lat,hdb_lon,mall_lat,mall_lon,distance
5281,1.369716381,103.8934299,1.37248308734511,103.893788141349,0.308515
5282,1.369743586,103.8560231,1.36925511350953,103.848464053097,0.842963
5283,1.369745688,103.898841,1.37248308734511,103.893788141349,0.638612
5284,1.369749509,103.9497938,1.37228761596577,103.949733905672,0.28073
5285,1.369767934,103.8475795,1.36925511350953,103.848464053097,0.113604
5286,1.369813241,103.882211,1.35954450890401,103.885169070198,1.182223
5287,1.369826072,103.8793174,1.35954450890401,103.885169070198,1.310188
5288,1.369847708,103.8837012,1.37931783499145,103.88784708944,1.144298
5289,1.369848212,103.9615826,1.36706634197242,103.964635610477,0.458323
5290,1.369848376,103.8594041,1.36511490572797,103.865159501442,0.827164
5291,1.369872141,103.8580035,1.36511490572797,103.865159501442,0.954424
5292,1.369877458,103.8914128,1.37248308734511,103.893788141349,0.391012
5293,1.369878403,103.8898597,1.37248308734511,103.893788141349,0.523531
5294,1.369894989,103.8420591,1.37193729131781,103.845949444498,0.488305
5295,1.369900384,103.8963935,1.37248308734511,103.893788141349,0.406971
5296,1.369900404,103.8702249,1.36511490572797,103.865159501442,0.773165
5297,1.369901403,103.8712068,1.36511490572797,103.865159501442,0.856178
5298,1.369913499,103.8365253,1.37193729131781,103.845949444498,1.072401
5299,1.369917638,103.8831931,1.37931783499145,103.88784708944,1.161318
5300,1.369922383,103.890925,1.37248308734511,103.893788141349,0.426264
5301,1.369946401,103.8342845,1.37193729131781,103.845949444498,1.3167
5302,1.369950992,103.8723123,1.36511490572797,103.865159501442,0.958961
5303,1.369954124,103.8812179,1.35954450890401,103.885169070198,1.232173
5304,1.369960491,103.9474521,1.37228761596577,103.949733905672,0.361523
5305,1.369968332,103.9560026,1.3765903645695,103.955689449482,0.73306
5306,1.369971289,103.8460765,1.37193729131781,103.845949444498,0.21785
5307,1.369971817,103.8847454,1.37248308734511,103.893788141349,1.043955
5308,1.370009081,103.8960577,1.37248308734511,103.893788141349,0.372331
5309,1.370025457,103.8985723,1.37248308734511,103.893788141349,0.597762
5310,1.370033899,103.9545056,1.37228761596577,103.949733905672,0.586598
5311,1.370047397,103.8445948,1.37193729131781,103.845949444498,0.257678
5312,1.370055013,103.8548806,1.36925511350953,103.848464053097,0.719541
5313,1.370059831,103.8828232,1.37931783499145,103.88784708944,1.166429
5314,1.37007303,103.8784394,1.35954450890401,103.885169070198,1.384283
5315,1.370073685,103.9567309,1.3765903645695,103.955689449482,0.729843
5316,1.370096538,103.8376878,1.37193729131781,103.845949444498,0.941681
5317,1.37009813,103.8816713,1.37931783499145,103.88784708944,1.229505
5318,1.370129834,103.8731155,1.36511490572797,103.865159501442,1.044722
5319,1.370141371,103.8978503,1.37248308734511,103.893788141349,0.520974
5320,1.370142313,103.9632845,1.36706634197242,103.964635610477,0.371879
5321,1.370144007,103.8839681,1.37931783499145,103.88784708944,1.102428
5322,1.370166417,103.9547856,1.37228761596577,103.949733905672,0.609159
5323,1.370168991,103.8936261,1.37248308734511,103.893788141349,0.256516
5324,1.370175471,103.8822302,1.37931783499145,103.88784708944,1.188566
5325,1.370181442,103.8590188,1.36511490572797,103.865159501442,0.883672
5326,1.370188607,103.8434132,1.37193729131781,103.845949444498,0.342133
5327,1.370188804,103.8524295,1.36925511350953,103.848464053097,0.453222
5328,1.370201933,103.9616146,1.36706634197242,103.964635610477,0.482954
5329,1.37020344,103.8346877,1.37193729131781,103.845949444498,1.267874
5330,1.370210669,103.9479865,1.37228761596577,103.949733905672,0.300931
5331,1.370212304,103.8791162,1.35954450890401,103.885169070198,1.358377
5332,1.370238552,103.9628942,1.36706634197242,103.964635610477,0.400743
5333,1.370244621,103.870823,1.36511490572797,103.865159501442,0.847932
5334,1.370245502,103.885525,1.37248308734511,103.893788141349,0.952291
