private_lat,private_lon,within_0.1,within_0.3,within_0.5,within_1,within_1.5,within_2.0
1.23978494620582,103.83727712151,0,0,0,0,0,0
1.24005848546927,103.830936322258,0,0,0,0,0,2
1.24128528590103,103.8401002733,0,0,0,0,0,0
1.24234683810088,103.83816149913,0,0,0,0,0,0
1.24296399581113,103.837106213588,0,0,0,0,0,0
1.24297424636053,103.839164641252,0,0,0,0,0,0
1.24374601223412,103.842511120506,0,0,0,0,0,0
1.24678687668364,103.844402093991,0,0,0,0,0,0
1.2491304624867,103.841532989339,0,0,0,0,0,0
1.24929537923786,103.84245545438,0,0,0,0,0,0
1.25000204938227,103.844128104507,0,0,0,0,0,0
1.25004849376758,103.846319306506,0,0,0,0,0,0
1.25004905350305,103.841633373557,0,0,0,0,0,0
1.25028020779828,103.846845622682,0,0,0,0,0,0
1.25177730904166,103.847671939013,0,0,0,0,0,0
1.25184506159069,103.846059186654,0,0,0,0,0,0
1.25221149686401,103.845330154013,0,0,0,0,0,0
1.25228711526676,103.84540862429,0,0,0,0,0,0
1.26489010829928,103.816454088109,0,1,5,12,50,77
1.26617727280392,103.823388742056,0,2,8,25,44,83
1.26618589994556,103.822744661427,1,3,7,25,47,83
1.26747019767944,103.815542991374,0,2,6,23,57,95
1.26816216653267,103.814379904552,0,4,4,27,61,103
1.2689003201228,103.824635539269,0,3,13,32,61,102
1.27035025509729,103.813967319772,1,2,8,33,73,121
1.2708927315184,103.824144356363,1,5,13,36,69,121
1.27201238848312,103.80851431688,0,9,12,35,68,113
1.27224289288465,103.827478990765,1,4,16,39,70,130
1.27247694326577,103.807817491838,2,8,11,34,63,113
1.27342074069167,103.837938952301,0,3,15,42,76,127
1.2734661134853,103.845580792511,1,7,14,38,70,112
1.27388660363944,103.846235542245,1,7,13,39,71,110
1.27426245685335,103.846025087372,1,7,16,41,71,114
1.27461794103822,103.844319553688,1,7,19,44,76,119
1.27464397804711,103.844741587315,2,9,18,43,75,119
1.27469115793838,103.794950672516,0,3,6,17,43,88
1.27484974836861,103.842184815618,1,9,17,46,81,128
1.27516997523174,103.844496312645,0,8,20,46,77,122
1.27527115223131,103.83683222505,0,6,14,44,89,144
1.27550106882151,103.841596022941,1,8,18,47,83,133
1.27559528527257,103.837559859708,0,4,13,45,87,142
1.27581120588262,103.845955084997,1,5,17,50,77,127
1.27587483521415,103.840480994349,1,6,21,48,88,143
1.27603511606189,103.837502046362,0,5,14,46,91,145
1.27624326037685,103.825156243805,0,4,12,49,93,168
1.27631643556314,103.823679380408,2,3,13,50,100,170
1.27656571680744,103.825968001901,0,3,12,47,95,172
1.27671498507474,103.853326932298,0,3,6,29,71,115
1.27685386379359,103.791742171785,0,4,4,20,51,97
1.27686888047138,103.793176829437,1,2,6,19,51,104
1.27690165135904,103.837178791105,1,7,15,45,96,153
1.27705679882109,103.83802497808,1,6,13,48,96,154
1.2770605456674,103.791178704547,1,4,5,20,50,96
1.27708340707631,103.849181343548,0,4,11,44,82,125
1.27711736000318,103.845790152215,0,7,17,56,84,135
1.27715399003502,103.836948399168,2,7,14,45,97,156
1.2772283990831,103.838008339325,2,6,14,48,96,155
1.27727686078753,103.791318105519,0,4,5,20,51,100
1.27728558824322,103.793122156661,0,2,6,18,54,107
1.2774999857505,103.790310715951,1,3,6,20,54,95
1.27774637356665,103.793783926302,0,2,6,23,55,112
1.27795279258227,103.788283045426,0,4,8,22,52,89
1.27803124712698,103.84238791264,0,6,18,55,95,143
1.27815483994541,103.790501057662,0,2,7,21,59,102
1.27842710241318,103.791348743292,0,2,5,21,58,108
1.27866845329676,103.787767087156,1,6,14,25,55,96
1.27870866888886,103.792118994887,0,1,4,22,59,115
1.27880964969521,103.787553932401,1,6,14,25,55,98
1.27887893298214,103.790515732704,0,2,8,22,60,107
1.27892037252,103.785351854599,2,9,10,28,55,91
1.27925056413254,103.787154334976,0,6,14,26,56,98
1.27929478959373,103.850552555075,0,5,10,46,91,143
1.27940014288617,103.847329579148,1,4,14,59,96,149
1.27948670070186,103.785756186651,2,10,12,29,58,95
1.27960678744377,103.785048203742,2,10,13,29,58,91
1.279625798918,103.854987203774,1,3,8,26,77,133
1.27967720669913,103.792099423759,0,0,4,25,63,121
1.27980322314972,103.78590960328,2,10,12,29,58,99
1.27981505131498,103.788181557692,0,5,13,29,58,105
1.27982390925651,103.790247766425,0,0,9,29,61,111
1.2798626970369,103.790692823319,0,0,8,26,61,115
1.27990746779279,103.791466147015,0,0,4,26,62,119
1.27995836101667,103.793330073651,0,0,3,21,66,125
