hdb_lat,hdb_lon,within_0.1,within_0.3,within_0.5,within_1,within_1.5,within_2.0
1.277734578,103.8070933,0,0,0,2,2,5
1.277760301,103.8207301,0,0,0,0,5,6
1.277767863,103.8217024,0,0,0,0,4,9
1.277785233,103.8300015,0,0,0,1,5,13
1.277795391,103.8193413,0,0,0,0,5,7
1.277799407,103.8414034,0,0,4,8,15,19
1.277837333,103.8308146,0,0,0,1,6,12
1.27784271,103.8409659,0,1,4,8,14,19
1.27790985,103.8225358,0,0,0,0,4,9
1.278053652,103.8215046,0,0,0,0,4,7
1.27814726,103.826959,0,0,0,1,5,11
1.278149681,103.8184753,0,0,0,0,5,6
1.278156143,103.8295243,0,0,0,1,5,13
1.278159465,103.8204753,0,0,0,0,5,6
1.278287639,103.8275372,0,0,0,1,5,11
1.278361373,103.819384,0,0,0,0,5,7
1.27842357,103.8262376,0,0,0,1,5,10
1.278600687,103.8270854,0,0,0,1,5,11
1.278724029,103.8192204,0,0,0,0,4,7
1.278738081,103.8283043,0,0,0,1,5,13
1.278819907,103.8277237,0,0,0,1,5,12
1.279078534,103.8267853,0,0,0,1,5,11
1.279220088,103.8254414,0,0,0,1,3,10
1.279426714,103.8260869,0,0,0,1,5,10
1.279456601,103.8178976,0,0,0,0,3,6
1.279550933,103.8274009,0,0,0,1,5,12
1.279836902,103.8247578,0,0,0,1,3,10
1.280189419,103.8281784,0,0,0,1,5,12
1.280277649,103.8257236,0,0,0,1,4,9
1.280286617,103.7907847,0,0,1,1,2,4
1.280312427,103.8288223,0,0,0,1,5,13
1.280412552,103.8292712,0,0,0,1,5,13
1.280455613,103.8123177,0,0,0,0,3,7
1.28049144,103.8121008,0,0,0,0,3,7
1.280596876,103.79046,0,0,1,2,2,4
1.28061365,103.8109679,0,0,0,0,3,5
1.280649504,103.8107509,0,0,0,0,3,5
1.280701976,103.8133534,0,0,0,0,3,7
1.280736924,103.8131357,0,0,0,0,3,7
1.28089298,103.8123553,0,0,0,0,3,6
1.280917569,103.8283703,0,0,0,1,5,12
1.280957713,103.8094402,0,0,0,0,3,4
1.280999372,103.8092253,0,0,0,0,3,4
1.281071165,103.8114057,0,0,0,0,3,5
1.281119806,103.8299432,0,0,0,2,5,13
1.281122693,103.8086879,0,0,0,0,3,4
1.281153031,103.8288562,0,0,0,2,5,13
1.281155585,103.8272666,0,0,0,1,6,12
1.281165101,103.8084718,0,0,0,0,3,5
1.28131575,103.8078619,0,0,0,0,4,5
1.281387539,103.8093625,0,0,0,0,3,4
1.281419862,103.8072869,0,0,0,0,4,5
1.281420282,103.8256452,0,0,0,1,3,9
1.281428248,103.8092428,0,0,0,0,3,4
1.281476362,103.8081481,0,0,0,0,4,5
1.281489151,103.827672,0,0,0,1,5,12
1.281522804,103.8300358,0,0,0,2,6,12
1.281524648,103.8290546,0,0,0,2,5,13
1.281568739,103.8077317,0,0,0,0,4,5
1.281606412,103.8423359,0,1,6,9,16,26
1.281759271,103.8068622,0,0,0,0,4,5
1.28178928,103.8259896,0,0,0,1,5,10
1.281800622,103.8429082,0,2,6,11,16,26
1.281945984,103.8279111,0,0,1,2,5,12
1.281962435,103.8295591,0,0,0,2,6,11
1.28209884,103.8252028,0,0,1,1,3,9
1.282169371,103.8263337,0,0,1,1,6,11
1.282172093,103.8429086,0,2,6,11,16,27
1.282218691,103.8245363,0,0,0,1,3,9
1.2823137,103.8293115,0,0,0,2,6,11
1.282364496,103.8434482,0,3,5,11,17,28
1.282646752,103.8233271,0,0,0,1,3,9
1.282650681,103.8281785,0,0,1,2,7,10
1.282681051,103.8265834,0,0,1,1,6,10
1.282702702,103.8284912,0,0,1,2,6,10
1.282757974,103.8252056,0,0,1,1,3,9
1.282774432,103.8226125,0,0,0,2,3,10
1.282856548,103.8294964,0,0,1,2,6,12
1.282908655,103.824868,0,0,1,1,3,9
1.28295504,103.8279833,0,0,1,2,7,10
1.283029656,103.8272367,0,0,1,2,7,10
1.283055893,103.8166928,0,0,0,1,2,6
1.283062285,103.8260599,0,0,1,1,5,8
1.283092071,103.8255924,0,0,1,1,3,8
1.283246503,103.8278547,0,0,1,2,7,10
1.283391874,103.828894,0,0,1,2,6,11
1.283406756,103.8167569,0,0,0,1,2,6
1.283466373,103.8261834,0,0,1,2,6,9
1.283485112,103.8270438,0,0,1,2,7,10
1.283527552,103.82083,0,0,0,2,2,6
1.283578705,103.8238192,0,0,1,1,3,7
1.28362147,103.825391,0,0,1,1,3,7
1.283634676,103.8281281,0,0,1,2,7,10
1.28365235,103.8154111,0,0,0,1,2,5
1.283851579,103.8289647,0,0,1,2,7,11
1.283910308,103.8149833,0,0,0,1,2,5
1.283912294,103.8160061,0,0,0,1,2,5
1.283991598,103.8310708,0,0,0,4,8,14
1.284003917,103.8315298,0,0,0,5,9,15
1.284009681,103.8274214,0,1,1,2,7,10
1.28407985,103.8305255,0,0,1,2,7,14
1.284128096,103.8145438,0,0,0,1,3,5
1.284193538,103.8459859,0,2,5,13,22,30
1.284205817,103.8310634,0,0,0,4,8,15
1.284226486,103.8316063,0,0,0,5,9,15
1.284299357,103.830518,0,0,1,2,7,14
1.284420207,103.8310569,0,0,1,4,8,15
1.284425405,103.8239092,0,0,1,2,3,7
1.28443457,103.831599,0,0,1,4,9,15
1.284565755,103.8453799,1,2,5,12,21,30
1.284587128,103.8243603,0,0,1,1,4,8
1.284594557,103.8462209,0,1,4,13,22,30
1.284670567,103.8310493,0,0,1,4,7,15
1.284690696,103.8315909,0,0,1,4,9,15
1.284748327,103.8268757,0,1,1,2,6,10
1.284858608,103.8425788,0,2,3,11,16,29
1.284864669,103.8305005,0,0,1,2,7,14
1.284881937,103.8310424,0,0,2,3,7,16
1.284887046,103.8227818,0,0,1,2,3,8
1.284887947,103.8264446,0,1,1,2,6,9
1.284899222,103.8315842,0,0,1,4,9,16
1.284962797,103.8456183,0,2,4,12,20,30
1.285057315,103.823812,0,0,1,2,4,8
1.285084465,103.8304936,0,0,1,2,7,15
1.285086563,103.8257828,0,1,1,2,4,9
1.285101769,103.8310352,0,0,2,3,7,16
1.285119168,103.8315772,0,0,1,4,9,16
1.285122153,103.8216069,0,0,0,2,3,6
1.285212192,103.8457662,0,2,4,12,21,30
1.285282206,103.823095,0,0,1,2,3,8
1.285296918,103.8332353,0,0,1,5,10,16
1.28532859,103.8033968,0,0,0,0,2,6
1.285381443,103.8304007,0,0,2,2,7,15
1.28540981,103.8312809,0,0,2,3,8,16
1.285437042,103.8308393,0,0,2,2,7,16
1.285438216,103.8321614,0,0,1,4,9,16
1.285465349,103.8317194,0,0,1,4,9,16
1.285493784,103.8326,0,0,1,5,9,16
1.285570416,103.8262762,0,1,1,2,4,9
1.285595165,103.8155474,0,0,1,1,3,4
1.285615264,103.8331163,0,0,1,6,10,16
1.285624598,103.8259233,0,1,1,2,4,9
1.285670557,103.8308321,0,0,2,2,7,16
1.285697382,103.8303912,0,0,2,2,7,15
1.285699484,103.8317118,0,0,1,5,9,16
1.285726545,103.8312705,0,0,2,3,8,16
1.285727781,103.8325924,0,0,1,5,9,16
1.285754796,103.8321508,0,0,1,5,9,16
1.285823318,103.8035322,0,0,0,0,2,6
1.285840812,103.8185963,0,0,1,2,2,7
1.28603089,103.8190237,0,0,1,2,2,7
1.286136936,103.8330279,0,1,1,5,10,17
1.28613832,103.8310699,0,0,2,3,7,18
1.286159709,103.8304481,0,0,2,3,7,16
1.286178783,103.8323096,0,1,1,5,9,17
1.286200432,103.8316877,0,0,1,4,9,17
1.286235215,103.8423033,0,1,2,9,19,29
1.286336847,103.8292048,0,1,1,2,7,16
1.286358471,103.8296262,0,1,2,3,7,16
1.286403502,103.809742,0,0,0,2,2,5
1.28645354,103.8082424,0,0,0,1,2,4
1.286458819,103.8042002,0,0,0,1,2,6
1.286486402,103.8185497,0,0,1,2,2,6
1.286492541,103.8214336,0,0,0,2,3,6
1.286513575,103.8371273,0,0,1,7,13,24
1.28652537,103.8301248,0,0,2,3,6,16
1.286529621,103.8331631,0,1,1,5,10,19
1.286545996,103.8308245,0,0,2,3,7,16
1.286588783,103.8319503,0,1,1,4,9,18
1.286621904,103.8089633,0,0,0,2,2,4
1.286629213,103.8068619,0,0,0,1,2,5
1.286673707,103.8324817,0,1,1,5,10,17
1.286726327,103.8167005,0,0,1,1,3,6
1.286742975,103.8126313,0,0,0,1,2,5
1.286756544,103.8101217,0,0,0,2,2,5
1.286814178,103.8289283,0,1,1,3,7,16
1.286827152,103.8286595,0,1,1,2,7,15
1.286835248,103.8313476,0,0,2,3,8,18
1.286850982,103.8117125,0,0,0,1,2,5
1.286857679,103.8328459,0,1,1,5,10,20
1.286868975,103.8194359,0,0,1,2,2,6
1.28687207,103.8160261,0,0,1,1,3,6
1.286920062,103.8186736,0,0,1,2,2,6
1.286955402,103.8110008,0,0,0,1,2,5
1.286973834,103.8390758,0,0,0,9,15,25
1.286977039,103.8215588,0,0,0,2,3,6
1.287016529,103.8163748,0,1,1,1,3,6
1.287016949,103.8303033,0,0,2,3,7,16
1.287077496,103.8127058,0,0,0,1,2,5
1.287151475,103.8118327,0,0,0,1,2,5
1.287277396,103.8109636,0,0,0,2,2,5
1.28728822,103.831873,0,1,1,3,9,18
1.287300521,103.8079883,0,0,0,1,2,5
1.287319025,103.8174756,0,1,1,1,2,6
1.287377627,103.8394071,0,0,0,9,17,26
1.287405027,103.816392,0,1,1,1,3,5
1.287406406,103.8220532,0,0,0,2,4,6
1.287421225,103.8284155,0,1,1,3,7,15
1.287422103,103.8194349,0,0,1,2,2,6
1.287422399,103.8312389,0,1,2,3,7,17
1.28745837,103.8326758,0,1,1,4,10,21
1.28748905,103.8117141,0,0,0,1,2,5
1.287526863,103.8320205,0,1,1,3,9,20
1.287531165,103.8070202,0,0,0,1,2,5
1.287543322,103.8213351,0,0,0,2,3,6
1.287613426,103.8122721,0,0,0,1,2,5
1.28762317,103.8414629,0,0,2,10,19,27
1.287638699,103.8314433,0,1,1,3,8,17
1.287669769,103.8282029,0,1,1,3,6,15
1.287674258,103.8388579,0,0,0,10,17,26
1.287718959,103.8072806,0,0,0,1,2,5
1.287758183,103.8194936,0,0,1,2,2,6
1.287807531,103.8327806,0,1,1,3,10,21
1.287861305,103.8076482,0,0,0,1,2,5
1.287877158,103.8114409,0,0,0,2,2,5
1.28789877,103.8282036,0,1,1,3,6,15
1.287904618,103.8321977,0,1,1,3,9,21
1.28793757,103.8167909,0,1,1,1,3,6
1.287963807,103.8162431,0,1,1,1,3,5
1.287973009,103.8088393,0,0,0,2,2,5
1.287988788,103.8219473,0,0,0,2,4,7
1.288001696,103.8316146,0,1,1,3,9,18
1.288053157,103.8152771,0,1,1,1,3,4
1.28805664,103.8212853,0,0,0,2,3,6
1.288076876,103.8270813,0,1,1,2,4,14
1.288098683,103.831032,0,1,2,3,7,16
1.288114518,103.8290403,0,0,1,3,7,16
1.288171345,103.828454,0,1,1,3,6,15
1.288200189,103.8083694,0,0,0,2,2,5
1.288213201,103.8332335,1,1,1,4,12,21
1.288295797,103.8261447,0,1,1,2,4,12
1.288359771,103.8270569,0,1,1,3,4,14
1.288381067,103.8173911,0,1,1,1,3,6
1.288475431,103.8328482,1,1,1,3,10,21
1.288480938,103.8158788,0,1,1,1,3,5
1.288487134,103.8133515,0,0,1,1,2,4
1.288494662,103.808777,0,0,0,2,2,5
1.288525352,103.8284586,0,0,1,3,6,15
1.288553932,103.82729,0,1,1,3,4,14
1.288575947,103.8078682,0,0,0,2,2,4
1.288596672,103.8291763,0,0,2,3,6,16
1.288632893,103.8105346,0,0,0,2,2,5
1.288633343,103.8100159,0,0,0,2,2,5
1.288633659,103.8096439,0,0,0,2,2,6
1.28871632,103.8168546,0,1,1,1,3,6
1.288816153,103.8082053,0,0,0,2,2,4
1.288847235,103.8134506,0,0,1,1,2,4
1.289023143,103.816276,1,1,1,1,3,6
1.289056347,103.8275021,0,0,1,3,4,14
1.289075068,103.8153184,0,1,1,1,3,5
1.289135952,103.8136775,0,0,1,1,2,4
1.289229289,103.8091934,0,0,0,2,2,4
1.289285559,103.8034015,0,0,0,1,2,5
1.289308932,103.8292333,0,0,2,3,6,16
1.289336654,103.8289203,0,0,1,3,6,16
1.289369275,103.8215381,0,0,0,2,5,8
1.289424524,103.8223055,0,0,0,2,5,9
1.289442681,103.8262014,0,0,1,3,5,11
1.28951776,103.8284671,0,0,1,3,5,15
1.289651,103.8153995,0,1,1,1,3,5
1.289742097,103.8213757,0,0,0,2,5,9
1.289764755,103.8268029,0,0,1,3,5,13
1.290020507,103.803188,0,0,0,1,2,4
1.29003093,103.8026043,0,0,0,1,2,6
1.290066863,103.8292459,0,0,1,3,7,16
1.290087191,103.828,0,0,1,3,6,14
1.290129527,103.8289143,0,0,1,3,7,16
1.290138585,103.8284533,0,0,1,3,6,14
1.290214202,103.8223568,0,0,0,2,5,9
1.290366187,103.8215771,0,0,0,2,5,9
1.290434865,103.8031059,0,0,0,1,2,3
1.290659806,103.8326083,0,1,2,3,12,20
1.29069966,103.802363,0,0,0,1,2,4
1.290717998,103.8216252,0,0,0,2,5,9
1.290732462,103.8038469,0,0,1,1,3,3
1.290764057,103.8019164,0,0,0,1,2,6
1.290911282,103.8031208,0,0,0,1,2,4
1.291134836,103.8267645,0,0,0,3,6,13
1.291293745,103.8274764,0,0,0,3,7,14
1.291518248,103.8025131,0,0,0,1,2,4
1.291543916,103.803508,0,0,1,1,3,3
1.291698335,103.8273345,0,0,0,3,7,14
1.291734122,103.8280261,0,0,0,3,7,14
1.291828624,103.8265458,0,0,0,3,7,13
1.291876436,103.8026323,0,0,1,1,2,4
1.292075251,103.8285841,0,0,0,3,8,15
1.292096907,103.8042298,0,0,1,1,3,3
1.292241806,103.8276014,0,0,0,3,7,14
1.292254671,103.802857,0,0,1,1,2,4
1.292255234,103.8148798,0,0,1,1,2,5
1.292316477,103.814606,0,0,1,2,2,5
1.292382728,103.8001963,0,0,0,1,2,6
1.292483167,103.8152362,0,0,1,1,4,5
1.292721267,103.8148357,0,0,1,1,3,5
1.292740384,103.8028067,0,0,1,1,2,4
1.292750071,103.7999359,0,0,0,1,2,7
1.292778586,103.808446,0,0,1,2,2,4
1.293055547,103.8144244,0,0,1,2,3,5
1.29308496,103.8107889,0,0,0,2,2,6
1.293085872,103.8118849,0,0,0,2,2,6
1.293111932,103.8037302,0,0,1,1,2,4
1.293189644,103.8112526,0,0,0,2,2,6
1.29327775,103.799918,0,0,0,1,2,7
1.293313145,103.8082534,0,1,1,1,3,4
1.293358565,103.8087998,0,0,1,2,2,5
1.293360743,103.809857,0,0,1,2,2,5
1.293382949,103.8093307,0,0,1,2,2,5
1.293482013,103.8049167,0,1,1,1,3,3
1.293566229,103.7996226,0,0,0,2,2,7
1.29361494,103.8037425,0,1,1,1,2,4
1.29375108,103.8119567,0,0,0,2,2,6
1.293802603,103.8077892,0,1,1,1,3,4
1.293814453,103.8031379,0,0,1,1,2,5
1.293818152,103.8048866,0,1,1,1,3,3
1.293831576,103.8026251,0,0,1,1,2,5
1.293845338,103.8087279,0,0,1,1,2,5
1.293860989,103.8115839,0,0,0,2,2,6
1.293914777,103.8044543,0,1,1,1,3,3
1.294021643,103.8082128,0,1,1,1,3,5
1.294073335,103.8000265,0,0,0,2,2,7
1.294236426,103.8120353,0,0,0,2,2,6
1.29429994,103.7997259,0,0,0,2,3,8
1.294316074,103.8044662,0,1,1,1,3,4
1.294317426,103.8049318,0,1,1,1,3,3
1.294382132,103.8055602,1,1,1,1,3,3
1.294386975,103.8114265,0,0,0,2,2,6
1.294460576,103.810979,0,0,0,2,2,5
1.294545264,103.8087511,0,0,1,1,3,5
1.294561391,103.8096921,0,0,1,2,2,5
1.294620407,103.8092773,0,0,1,1,3,5
1.294642864,103.808264,0,1,1,1,3,5
1.294799758,103.8046091,0,1,1,1,3,4
1.294801401,103.8544675,0,2,3,8,18,30
1.294903079,103.8036993,0,1,1,1,2,5
1.29499227,103.8117965,0,0,0,2,2,6
1.295120862,103.81115,0,0,0,2,2,5
1.295340411,103.8125852,0,0,0,2,4,6
1.295382633,103.8049624,0,1,1,1,3,3
1.295401639,103.8121856,0,0,0,2,3,6
1.295463169,103.8117852,0,0,0,2,3,6
1.295609547,103.8044729,0,1,1,1,2,5
1.295649031,103.8102305,0,0,1,2,2,5
1.295687406,103.8048623,0,1,1,1,3,6
1.295730427,103.8097599,0,0,1,1,3,5
1.29579395,103.8092648,0,0,1,1,3,5
1.296191719,103.8045419,0,1,1,2,2,7
1.296328449,103.8044471,0,1,1,2,2,7
1.296545485,103.8034986,0,0,1,2,2,7
1.296567445,103.7983786,0,0,0,2,4,7
1.296589236,103.8041754,0,0,1,2,2,8
1.296646199,103.8036194,0,0,1,2,2,7
1.296696151,103.8042695,0,0,1,2,2,8
1.296794864,103.8539072,0,0,6,13,19,27
1.296808995,103.7983615,0,0,0,2,5,7
1.296853111,103.8533475,0,1,5,13,19,27
1.297049718,103.7982277,0,0,0,2,5,7
1.297052651,103.7970781,0,0,0,1,6,7
1.297140906,103.8037913,0,0,1,2,2,7
1.297292454,103.7982287,0,0,0,2,5,7
1.297508103,103.7987228,0,0,0,2,5,7
1.297528021,103.7970902,0,0,0,1,6,7
1.297677087,103.7996368,0,0,0,2,4,7
1.297724618,103.8056609,0,0,1,2,2,6
1.297769693,103.7970901,0,0,0,1,6,7
1.297772317,103.7980171,0,0,0,2,5,7
1.297791663,103.8026579,0,0,0,2,2,7
1.297842217,103.796608,0,0,0,1,6,7
1.297896651,103.7996965,0,0,0,2,5,7
1.297986437,103.7985808,0,0,1,2,5,7
1.298011246,103.7970907,0,0,0,1,6,7
1.298096771,103.8025981,0,0,0,2,2,7
1.298106411,103.799781,0,0,0,2,5,7
1.298202805,103.8020236,0,0,0,2,2,7
1.298228399,103.7985854,0,0,1,2,5,7
1.298252192,103.7970901,0,0,1,1,5,7
1.298324737,103.7998392,0,0,1,2,5,7
1.298329201,103.7966068,0,0,1,1,6,7
1.298332886,103.8023,0,0,0,2,2,7
1.298445022,103.801578,0,0,0,2,2,8
1.298470056,103.7985802,0,0,1,2,5,7
1.298493156,103.7970912,0,0,1,1,6,7
1.298539163,103.851856,0,2,3,12,19,25
1.298543257,103.7998979,0,0,1,2,5,7
1.298608861,103.852267,0,2,3,12,19,26
1.298640481,103.8019397,0,0,0,2,2,7
1.298710923,103.79858,0,0,1,2,6,7
1.298799808,103.7962589,0,0,1,2,7,7
1.298820888,103.7970912,0,0,1,1,6,7
1.298847085,103.7996412,0,0,1,2,6,7
1.29895181,103.7985417,0,0,1,2,6,7
1.298984374,103.7960772,0,0,1,2,7,7
1.299009418,103.8522849,0,1,3,13,20,25
1.299106097,103.7995619,0,0,1,2,6,7
1.299116852,103.7965838,0,0,1,1,7,7
1.299194385,103.7985245,0,0,1,2,6,7
1.299257847,103.7961574,0,0,1,2,7,7
1.299309998,103.7972346,0,0,1,1,6,7
1.299361916,103.7994714,0,0,1,2,6,7
1.299440498,103.7961571,0,0,1,3,7,7
1.299594858,103.7967483,0,0,1,1,6,7
1.299620525,103.7993864,0,0,1,2,6,7
1.299848262,103.7969773,0,0,1,1,6,7
1.300023369,103.7969569,0,0,1,1,6,7
1.300027148,103.7965918,0,0,1,2,6,7
1.300177631,103.8840432,0,0,0,1,3,5
1.300356709,103.8534664,0,1,4,13,19,23
1.300517009,103.7989763,0,1,1,1,6,7
1.300527362,103.8538233,0,1,4,13,19,23
1.300727923,103.7994173,0,1,1,1,6,7
1.300743073,103.8535635,0,1,4,13,19,23
1.300828855,103.8836948,0,0,0,2,3,5
1.300932673,103.853991,0,1,4,13,19,23
1.301129092,103.797123,0,1,1,2,6,7
1.301200354,103.7989219,0,1,1,1,6,7
1.301533134,103.907812,0,0,0,0,0,0
1.30153487,103.7976404,0,1,1,2,6,7
1.301552313,103.9084081,0,0,0,0,0,0
1.301696391,103.8825787,0,0,1,2,3,5
1.30190334,103.7972432,0,1,1,2,6,7
1.302015808,103.9085862,0,0,0,0,0,0
1.302044883,103.8828871,0,0,1,3,3,6
1.302058783,103.7965817,0,1,1,3,6,7
1.302112802,103.9094814,0,0,0,0,0,0
1.302226176,103.90788,0,0,0,0,0,0
1.302380702,103.9092389,0,0,0,0,0,0
1.302409531,103.7628048,0,0,0,0,1,1
1.302425249,103.7643539,0,0,0,0,1,2
1.302525747,103.7832732,0,0,0,3,5,7
1.302641286,103.9070732,0,0,0,0,0,1
1.302648966,103.9121848,0,0,0,0,0,0
1.302670233,103.9090404,0,0,0,0,0,1
1.302849836,103.9131972,0,0,0,0,0,0
1.302935008,103.907739,0,0,0,0,0,1
1.302979599,103.763714,0,0,0,0,1,2
1.303022984,103.8530387,0,1,3,11,18,23
1.303058145,103.9128165,0,0,0,0,0,1
1.303093486,103.9087515,0,0,0,0,0,1
1.30310124,103.7634131,0,0,0,0,1,2
1.303103439,103.782905,0,0,0,3,5,7
1.303153603,103.7619437,0,0,0,0,1,1
1.303178277,103.9118066,0,0,0,0,0,1
1.303206671,103.8504934,0,1,4,11,17,24
1.303208583,103.9143008,0,0,0,0,0,1
1.303234409,103.7624648,0,0,0,0,1,1
1.303370329,103.90744,0,0,0,0,0,1
1.303389822,103.9085535,0,0,0,0,0,1
1.303405476,103.9097344,0,0,0,0,0,2
1.303425396,103.8631534,0,0,2,5,13,21
