,hdb_lat,hdb_lon,cbd_lat,cbd_lon,distance
0,1.278361373,103.819384,1.2840350875163564,103.85181594399593,3.663528
1,1.367890048,103.8475991,1.2840350875163564,103.85181594399593,9.28412
2,1.366227071,103.8500859,1.2840350875163564,103.85181594399593,9.090407
3,1.37334635,103.8364593,1.2840350875163564,103.85181594399593,10.022371
4,1.362004539,103.8538799,1.2840350875163564,103.85181594399593,8.624521
5,1.373790082,103.849029,1.2840350875163564,103.85181594399593,9.929492
6,1.373400926,103.8490732,1.2840350875163564,103.85181594399593,9.886329
7,1.374694232,103.8364629,1.2840350875163564,103.85181594399593,10.169194
8,1.375097469,103.837619,1.2840350875163564,103.85181594399593,10.192416
9,1.374000718,103.8364315,1.2840350875163564,103.85181594399593,10.0942
10,1.334484667,103.9379247,1.2840350875163564,103.85181594399593,11.088503
11,1.33036165,103.935081,1.2840350875163564,103.85181594399593,10.588245
12,1.33445895,103.9370871,1.2840350875163564,103.85181594399593,11.006601
13,1.320825609,103.9389946,1.2840350875163564,103.85181594399593,10.520553
14,1.330505213,103.9358169,1.2840350875163564,103.85181594399593,10.667632
15,1.332240197,103.9289062,1.2840350875163564,103.85181594399593,10.100414
16,1.331332844,103.9229538,1.2840350875163564,103.85181594399593,9.488461
17,1.332702787,103.9234567,1.2840350875163564,103.85181594399593,9.619127
18,1.333042939,103.9247742,1.2840350875163564,103.85181594399593,9.761834
19,1.333020409,103.9170378,1.2840350875163564,103.85181594399593,9.05682
20,1.334334322,103.9177126,1.2840350875163564,103.85181594399593,9.204174
21,1.333127578,103.9165117,1.2840350875163564,103.85181594399593,9.017092
22,1.327505852,103.923264,1.2840350875163564,103.85181594399593,9.291479
23,1.327472422,103.9238683,1.2840350875163564,103.85181594399593,9.347197
24,1.286403502,103.809742,1.2840350875163564,103.85181594399593,4.689797
25,1.286756544,103.8101217,1.2840350875163564,103.85181594399593,4.649969
26,1.28789877,103.8282036,1.2840350875163564,103.85181594399593,2.662358
27,1.287669769,103.8282029,1.2840350875163564,103.85181594399593,2.65849
28,1.289442681,103.8262014,1.2840350875163564,103.85181594399593,2.912719
29,1.288098683,103.831032,1.2840350875163564,103.85181594399593,2.356318
30,1.287807531,103.8327806,1.2840350875163564,103.85181594399593,2.159152
31,1.287904618,103.8321977,1.2840350875163564,103.85181594399593,2.224877
32,,,1.2840350875163564,103.85181594399593,
33,,,1.2840350875163564,103.85181594399593,
34,1.311762898,103.9231131,1.2840350875163564,103.85181594399593,8.506495
35,1.311558711,103.9232914,1.2840350875163564,103.85181594399593,8.516913
36,1.311908623,103.9234743,1.2840350875163564,103.85181594399593,8.549799
37,1.288001696,103.8316146,1.2840350875163564,103.85181594399593,2.290625
38,1.28745837,103.8326758,1.2840350875163564,103.85181594399593,2.163509
39,1.28728822,103.831873,1.2840350875163564,103.85181594399593,2.248444
40,1.287421225,103.8284155,1.2840350875163564,103.85181594399593,2.631052
41,1.288076876,103.8270813,1.2840350875163564,103.85181594399593,2.788803
42,1.288525352,103.8284586,1.2840350875163564,103.85181594399593,2.64647
43,1.288359771,103.8270569,1.2840350875163564,103.85181594399593,2.796661
44,1.288114518,103.8290403,1.2840350875163564,103.85181594399593,2.574563
45,1.288553932,103.82729,1.2840350875163564,103.85181594399593,2.77489
46,1.289056347,103.8275021,1.2840350875163564,103.85181594399593,2.762303
47,1.284420207,103.8310569,1.2840350875163564,103.85181594399593,2.310702
48,1.284205817,103.8310634,1.2840350875163564,103.85181594399593,2.309663
49,1.289764755,103.8268029,1.2840350875163564,103.85181594399593,2.854928
50,1.284670567,103.8310493,1.2840350875163564,103.85181594399593,2.312223
51,1.271757071,103.8095604,1.2840350875163564,103.85181594399593,4.894753
52,1.274383638,103.8087418,1.2840350875163564,103.85181594399593,4.91116
53,1.281962435,103.8295591,1.2840350875163564,103.85181594399593,2.487583
54,1.281522804,103.8300358,1.2840350875163564,103.85181594399593,2.439817
55,1.286492541,103.8214336,1.2840350875163564,103.85181594399593,3.392203
56,1.384611897,103.7596027,1.2840350875163564,103.85181594399593,15.132705
57,1.385586407,103.7583408,1.2840350875163564,103.85181594399593,15.307163
58,1.389526709,103.771409,1.2840350875163564,103.85181594399593,14.701712
59,1.388901126,103.7690032,1.2840350875163564,103.85181594399593,14.81198
60,1.388538273,103.7687733,1.2840350875163564,103.85181594399593,14.796558
61,1.386915665,103.7585381,1.2840350875163564,103.85181594399593,15.400499
62,1.287377627,103.8394071,1.2840350875163564,103.85181594399593,1.429604
63,1.286973834,103.8390758,1.2840350875163564,103.85181594399593,1.454632
64,1.303460962,103.8507093,1.2840350875163564,103.85181594399593,2.151541
65,1.303206671,103.8504934,1.2840350875163564,103.85181594399593,2.124998
66,1.287674258,103.8388579,1.2840350875163564,103.85181594399593,1.497212
67,1.284858608,103.8425788,1.2840350875163564,103.85181594399593,1.032043
68,1.391339945,103.7439319,1.2840350875163564,103.85181594399593,16.880041
69,1.383293601,103.7530259,1.2840350875163564,103.85181594399593,15.534997
70,1.383159893,103.7534009,1.2840350875163564,103.85181594399593,15.495028
71,1.37580546,103.7447935,1.2840350875163564,103.85181594399593,15.647095
72,1.374761886,103.7449651,1.2840350875163564,103.85181594399593,15.557908
73,1.31812074,103.7690884,1.2840350875163564,103.85181594399593,9.948427
74,1.309456122,103.7699188,1.2840350875163564,103.85181594399593,9.538036
75,1.310175719,103.7700032,1.2840350875163564,103.85181594399593,9.552833
76,1.32622226,103.887117,1.2840350875163564,103.85181594399593,6.098794
