,private_lat,private_lon,bus_lat,bus_lon,distance
0,1.23978494620582,103.83727712151,1.255769,103.824031,2.301543
1,1.24005848546927,103.830936322258,1.255769,103.824031,1.899588
2,1.24128528590103,103.8401002733,1.255769,103.824031,2.400685
3,1.24234683810088,103.83816149913,1.255769,103.824031,2.162376
4,1.24296399581113,103.837106213588,1.255769,103.824031,2.030359
5,1.24297424636053,103.839164641252,1.255769,103.824031,2.199628
6,1.24374601223412,103.842511120506,1.255769,103.824031,2.448974
7,1.24678687668364,103.844402093991,1.255769,103.824031,2.47517
8,1.2491304624867,103.841532989339,1.255769,103.824031,2.081576
9,1.24929537923786,103.84245545438,1.255769,103.824031,2.171867
10,1.25000204938227,103.844128104507,1.255769,103.824031,2.325794
11,1.25004849376758,103.846319306506,1.266488,103.859953,2.367842
12,1.25004905350305,103.841633373557,1.255769,103.824031,2.058592
13,1.25028020779828,103.846845622682,1.266488,103.859953,2.310813
14,1.25177730904166,103.847671939013,1.266488,103.859953,2.124631
15,1.25184506159069,103.846059186654,1.266488,103.859953,2.238884
16,1.25221149686401,103.845330154013,1.266488,103.859953,2.267274
17,1.25228711526676,103.84540862429,1.266488,103.859953,2.255184
18,1.26489010829928,103.816454088109,1.267455,103.816678,0.284705
19,1.26617727280392,103.823388742056,1.265942,103.822344,0.119147
20,1.26618589994556,103.822744661427,1.265942,103.822344,0.052112
21,1.26747019767944,103.815542991374,1.267455,103.816678,0.126329
22,1.26816216653267,103.814379904552,1.268396,103.816248,0.209506
23,1.2689003201228,103.824635539269,1.268391,103.825667,0.127864
24,1.27035025509729,103.813967319772,1.269933,103.81319,0.098044
25,1.2708927315184,103.824144356363,1.271354,103.824739,0.083553
26,1.27201238848312,103.80851431688,1.272785,103.807887,0.11033
27,1.27224289288465,103.827478990765,1.271826,103.827183,0.056658
28,1.27247694326577,103.807817491838,1.272785,103.807887,0.034931
29,1.27342074069167,103.837938952301,1.272611,103.837041,0.134179
30,1.2734661134853,103.845580792511,1.274023,103.844923,0.095661
31,1.27388660363944,103.846235542245,1.274217,103.84699,0.091569
32,1.27426245685335,103.846025087372,1.27466,103.845451,0.077553
33,1.27461794103822,103.844319553688,1.274023,103.844923,0.094011
34,1.27464397804711,103.844741587315,1.274023,103.844923,0.071571
35,1.27469115793838,103.794950672516,1.274478,103.796623,0.187603
36,1.27484974836861,103.842184815618,1.273999,103.841942,0.097876
37,1.27516997523174,103.844496312645,1.27466,103.845451,0.120286
38,1.27527115223131,103.83683222505,1.276083,103.835284,0.194288
39,1.27550106882151,103.841596022941,1.275533,103.841064,0.059315
40,1.27559528527257,103.837559859708,1.277463,103.838336,0.223859
41,1.27581120588262,103.845955084997,1.275818,103.846388,0.048186
42,1.27587483521415,103.840480994349,1.275533,103.841064,0.075091
43,1.27603511606189,103.837502046362,1.277463,103.838336,0.183147
44,1.27624326037685,103.825156243805,1.276573,103.823452,0.193142
45,1.27631643556314,103.823679380408,1.276573,103.823452,0.038016
46,1.27656571680744,103.825968001901,1.274266,103.825098,0.272101
47,1.27671498507474,103.853326932298,1.275506,103.853783,0.142995
48,1.27685386379359,103.791742171785,1.275938,103.792431,0.127015
49,1.27686888047138,103.793176829437,1.276013,103.79323,0.094824
50,1.27690165135904,103.837178791105,1.277707,103.837394,0.092216
51,1.27705679882109,103.83802497808,1.277463,103.838336,0.056706
52,1.2770605456674,103.791178704547,1.277046,103.790304,0.097361
53,1.27708340707631,103.849181343548,1.278017,103.848223,0.148433
54,1.27711736000318,103.845790152215,1.275818,103.846388,0.158335
55,1.27715399003502,103.836948399168,1.277381,103.836286,0.077876
56,1.2772283990831,103.838008339325,1.277463,103.838336,0.044752
57,1.27727686078753,103.791318105519,1.277046,103.790304,0.115713
58,1.27728558824322,103.793122156661,1.276013,103.79323,0.141227
59,1.2774999857505,103.790310715951,1.277046,103.790304,0.050205
60,1.27774637356665,103.793783926302,1.276013,103.79323,0.201338
61,1.27795279258227,103.788283045426,1.278171,103.787021,0.142513
62,1.27803124712698,103.84238791264,1.277911,103.843538,0.128684
63,1.27815483994541,103.790501057662,1.277046,103.790304,0.124556
64,1.27842710241318,103.791348743292,1.277046,103.790304,0.19194
65,1.27866845329676,103.787767087156,1.278171,103.787021,0.0996
66,1.27870866888886,103.792118994887,1.277046,103.790304,0.273134
67,1.27880964969521,103.787553932401,1.278171,103.787021,0.092221
68,1.27887893298214,103.790515732704,1.277046,103.790304,0.204041
69,1.27892037252,103.785351854599,1.279332,103.785733,0.062217
70,1.27925056413254,103.787154334976,1.278171,103.787021,0.120291
71,1.27929478959373,103.850552555075,1.278379,103.849737,0.135987
72,1.27940014288617,103.847329579148,1.27891,103.847737,0.070663
73,1.27948670070186,103.785756186651,1.279332,103.785733,0.0173
74,1.27960678744377,103.785048203742,1.279545,103.785473,0.047768
75,1.279625798918,103.854987203774,1.280345,103.855061,0.079949
76,1.27967720669913,103.792099423759,1.277046,103.790304,0.352953
77,1.27980322314972,103.78590960328,1.279332,103.785733,0.055689
78,1.27981505131498,103.788181557692,1.280682,103.786787,0.182422
79,1.27982390925651,103.790247766425,1.277046,103.790304,0.307231
80,1.2798626970369,103.790692823319,1.277046,103.790304,0.314448
81,1.27990746779279,103.791466147015,1.277046,103.790304,0.34182
82,1.27995836101667,103.793330073651,1.276013,103.79323,0.4364
83,1.28004529331829,103.840358673254,1.280209,103.840241,0.022342
84,1.28004981255227,103.791212119976,1.277046,103.790304,0.347182
85,1.28018119780699,103.784824737346,1.279545,103.785473,0.100766
