,hdb_lat,hdb_lon,hawker_lat,hawker_lon,distance
5792,1.374601295,103.9431393,1.373434,103.951543,0.944093
5793,1.374610561,103.7687536,1.377601,103.77249,0.531266
5794,1.374618108,103.738365,1.355215,103.741826,2.179796
5795,1.374618931,103.8725735,1.375429,103.882978,1.161352
5796,1.374629851,103.942021,1.373434,103.951543,1.0679
5797,1.374637466,103.7746643,1.377601,103.77249,0.407349
5798,1.374642023,103.8963538,1.382388,103.892403,0.962769
5799,1.374650613,103.8812229,1.375429,103.882978,0.213444
5800,1.374664155,103.7761452,1.377601,103.77249,0.520505
5801,1.374673459,103.7703452,1.377601,103.77249,0.402197
5802,1.374681012,103.9438503,1.373434,103.951543,0.867136
5803,1.374694232,103.8364629,1.374489,103.839214,0.307003
5804,1.374704823,103.8953657,1.382388,103.892403,0.911303
5805,1.374721,103.9616719,1.373434,103.951543,1.13617
5806,1.374732912,103.8356827,1.374489,103.839214,0.393915
5807,1.374738413,103.8558768,1.37277,103.854483,0.267273
5808,1.374741375,103.7428515,1.355215,103.741826,2.162141
5809,1.374741403,103.9566217,1.373434,103.951543,0.583392
5810,1.374744873,103.8792971,1.375429,103.882978,0.416565
5811,1.374761886,103.7449651,1.355215,103.741826,2.189445
5812,1.374763192,103.8906271,1.375429,103.882978,0.854428
5813,1.374772767,103.8940506,1.382388,103.892403,0.861786
5814,1.374780587,103.8389976,1.374489,103.839214,0.040243
5815,1.374788436,103.9363539,1.373434,103.951543,1.696982
5816,1.374793802,103.7426071,1.355215,103.741826,2.166669
5817,1.37479886,103.7389699,1.355215,103.741826,2.188686
5818,1.374798932,103.8398581,1.374489,103.839214,0.079452
5819,1.374800981,103.9593624,1.373434,103.951543,0.883233
5820,1.374806815,103.8877085,1.375429,103.882978,0.530923
5821,1.374816801,103.7651093,1.377601,103.77249,0.87718
5822,1.374819362,103.8751253,1.375429,103.882978,0.876505
5823,1.374823279,103.8913669,1.382388,103.892403,0.844378
5824,1.374825233,103.8701468,1.364229,103.866536,1.23867
5825,1.374825895,103.8489561,1.372197,103.846519,0.397568
5826,1.374843395,103.8969942,1.382388,103.892403,0.978277
5827,1.37485973,103.8502249,1.372197,103.846519,0.506736
5828,1.374868826,103.8741268,1.375429,103.882978,0.986975
5829,1.374884453,103.745409,1.387136,103.761018,2.202887
5830,1.374904329,103.895996,1.382388,103.892403,0.919049
5831,1.374908823,103.7735478,1.377601,103.77249,0.320118
5832,1.374912242,103.8842481,1.375429,103.882978,0.152459
5833,1.374914599,103.8732179,1.375429,103.882978,1.087667
5834,1.374941101,103.7748564,1.377601,103.77249,0.39479
5835,1.374941278,103.96059,1.373434,103.951543,1.020521
5836,1.374941728,103.9466191,1.373434,103.951543,0.57277
5837,1.374959633,103.7714665,1.377601,103.77249,0.313493
5838,1.374960538,103.9439927,1.373434,103.951543,0.857042
5839,1.374961922,103.8721886,1.375429,103.882978,1.201837
5840,1.374965916,103.9472061,1.373434,103.951543,0.511506
5841,1.374972167,103.765519,1.377601,103.77249,0.828457
5842,1.37499003,103.8859822,1.375429,103.882978,0.337835
5843,1.374990587,103.7695099,1.377601,103.77249,0.439667
5844,1.374993836,103.8834867,1.375429,103.882978,0.074299
5845,1.374994487,103.8932548,1.382388,103.892403,0.823015
5846,1.374995864,103.9415106,1.373434,103.951543,1.129761
5847,1.374998438,103.7377443,1.355215,103.741826,2.234216
5848,1.375013784,103.8873377,1.375429,103.882978,0.487348
5849,1.375025135,103.8710748,1.364229,103.866536,1.296246
5850,1.375031351,103.7461866,1.387136,103.761018,2.125044
5851,1.375036114,103.9373128,1.373434,103.951543,1.593524
5852,1.375057688,103.9425339,1.373434,103.951543,1.01855
5853,1.37506139,103.8869105,1.375429,103.882978,0.439522
5854,1.375082496,103.9361118,1.373434,103.951543,1.72695
5855,1.375097469,103.837619,1.374489,103.839214,0.189827
5856,1.375106227,103.9351472,1.373434,103.951543,1.833996
5857,1.375106557,103.7743118,1.377601,103.77249,0.34232
5858,1.375119192,103.8907261,1.382388,103.892403,0.825128
5859,1.375126661,103.8822349,1.375429,103.882978,0.0892
5860,1.375135757,103.7430316,1.355215,103.741826,2.206818
5861,1.375168133,103.8901199,1.375429,103.882978,0.795328
5862,1.375175075,103.8965377,1.382388,103.892403,0.920785
5863,1.375177147,103.9592072,1.373434,103.951543,0.874439
5864,1.375177896,103.9435696,1.373434,103.951543,0.908052
