,hdb_lat,hdb_lon,bus_lat,bus_lon,distance
2499,1.339563017,103.8448936,1.340143,103.844657,0.069327
2500,1.339564005,103.8485857,1.340697,103.847968,0.142902
2501,1.339571753,103.7746782,1.340094,103.775255,0.086344
2502,1.339591891,103.6963576,1.338518,103.695776,0.13524
2503,1.339598845,103.8476054,1.339193,103.846762,0.104038
2504,1.33960583,103.7471113,1.339121,103.746162,0.118471
2505,1.339614224,103.7019586,1.340717,103.70257,0.139639
2506,1.339626011,103.7444688,1.340428,103.744033,0.101076
2507,1.339647178,103.6932721,1.339271,103.693117,0.045035
2508,1.339661774,103.7001378,1.34011,103.699324,0.103242
2509,1.33969366,103.6939154,1.339271,103.693117,0.100395
2510,1.339707633,103.7346978,1.339443,103.734242,0.058561
2511,1.33971748,103.6860611,1.340474,103.686968,0.131088
2512,1.33972149,103.74409,1.340428,103.744033,0.078379
2513,1.339733216,103.6944943,1.340551,103.694291,0.093214
2514,1.339741267,103.8472642,1.339193,103.846762,0.082456
2515,1.339767995,103.7013798,1.340717,103.70257,0.168986
2516,1.33976904,103.7725561,1.340299,103.772569,0.058618
2517,1.339773151,103.8522423,1.339923,103.852677,0.051136
2518,1.339782505,103.7006677,1.34011,103.699324,0.153862
2519,1.339791488,103.7355028,1.340142,103.736397,0.106796
2520,1.339798317,103.7029436,1.340717,103.70257,0.109763
2521,1.339804088,103.7206084,1.339251,103.722087,0.17555
2522,1.33980524,103.8462812,1.339193,103.846544,0.073746
2523,1.339810297,103.6883187,1.339695,103.687822,0.056729
2524,1.339826001,103.7408222,1.341299,103.74092,0.16324
2525,1.33989545,103.7464149,1.339121,103.746162,0.090141
2526,1.339926551,103.6873543,1.339695,103.687822,0.058006
2527,1.339932705,103.7416466,1.338543,103.741702,0.15379
2528,1.339933272,103.7385145,1.338401,103.738604,0.169723
2529,1.339962696,103.7738977,1.340392,103.773716,0.051598
2530,1.339967623,103.7380411,1.339581,103.73657,0.169207
2531,1.339975979,103.74216,1.338543,103.741702,0.166448
2532,1.33999732,103.7729608,1.340299,103.772569,0.0549
2533,1.340011433,103.6938026,1.340551,103.694291,0.080709
2534,1.340020636,103.8454138,1.340143,103.844657,0.085304
2535,1.340093192,103.7031243,1.340717,103.70257,0.092538
2536,1.340111291,103.6973881,1.340882,103.697365,0.08526
2537,1.340129827,103.6966483,1.340859,103.697147,0.097883
2538,1.340149983,103.6891464,1.340382,103.690014,0.099905
2539,1.340207482,103.7215343,1.339251,103.722087,0.122349
2540,1.340210062,103.8515746,1.339923,103.852677,0.126725
2541,1.340227842,103.6859367,1.340669,103.686875,0.115255
2542,1.340236567,103.7208852,1.339251,103.722087,0.172525
2543,1.340241479,103.6935496,1.340022,103.692935,0.072576
2544,1.340263175,103.6898284,1.340382,103.690014,0.02448
2545,1.340273516,103.852085,1.339923,103.852677,0.076438
2546,1.340280167,103.707599,1.339862,103.705673,0.219274
2547,1.340327579,103.6982473,1.340163,103.698592,0.042459
2548,1.340332412,103.737928,1.340142,103.736397,0.17168
2549,1.340344128,103.6878422,1.339695,103.687822,0.071812
2550,1.3403455,103.7437109,1.340428,103.744033,0.036989
2551,1.340369897,103.6958398,1.340746,103.695842,0.041588
2552,1.340374621,103.7409366,1.341299,103.74092,0.10223
2553,1.340406911,103.7421286,1.341299,103.74092,0.166798
2554,1.340454914,103.7384267,1.342084,103.738002,0.186233
2555,1.340464868,103.7472942,1.339121,103.746162,0.194828
2556,1.340470467,103.6852343,1.340669,103.686875,0.183907
2557,1.340472364,103.7083547,1.338762,103.709567,0.232314
2558,1.340472872,103.8461425,1.340953,103.845462,0.092488
2559,1.34050041,103.7202,1.341829,103.721393,0.198014
2560,1.340508942,103.8510407,1.340367,103.850082,0.107841
2561,1.340513135,103.6988816,1.340163,103.698592,0.050375
2562,1.340521584,103.6863745,1.340669,103.686875,0.058036
2563,1.340523118,103.6891902,1.340382,103.690014,0.092999
2564,1.340536279,103.6940774,1.340551,103.694291,0.023827
2565,1.340579375,103.6871707,1.340474,103.686968,0.02539
2566,1.340607509,103.737454,1.340142,103.736397,0.128402
2567,1.340609942,103.7197823,1.341829,103.721393,0.224281
2568,1.340631407,103.8443052,1.340143,103.844657,0.066704
