,hdb_lat,hdb_lon,park_lat,park_lon,distance
95,1.276559216,103.8198219,1.270414,103.820205,0.680842
96,1.276621684,103.8411561,1.276456,103.84379,0.293704
97,1.276631523,103.8208971,1.270414,103.820205,0.691803
98,1.276661921,103.807128,1.278845,103.810545,0.45043
99,1.276673811,103.8387891,1.276456,103.84379,0.557081
100,1.276684338,103.8394591,1.276456,103.84379,0.482656
101,1.276693247,103.8188666,1.270414,103.820205,0.710124
102,1.276749457,103.8105415,1.278845,103.810545,0.231715
103,1.276756464,103.8085252,1.278845,103.810545,0.322277
104,1.276853136,103.8099486,1.278845,103.810545,0.230034
105,1.276867842,103.8081486,1.278845,103.810545,0.344856
106,1.276883074,103.8400856,1.276456,103.84379,0.414966
107,1.276883151,103.8308839,1.283602,103.829747,0.753633
108,1.276915948,103.8218187,1.270414,103.820205,0.741043
109,1.276920243,103.8414858,1.276456,103.84379,0.261527
110,1.276924352,103.8386795,1.276456,103.84379,0.571111
111,1.277008235,103.8280562,1.283602,103.829747,0.752995
112,1.277060448,103.8207621,1.270414,103.820205,0.73754
113,1.277077068,103.8314259,1.283602,103.829747,0.745295
114,1.277120122,103.8431177,1.276456,103.84379,0.104838
115,1.277145597,103.8287389,1.283602,103.829747,0.722678
116,1.27718546,103.8195162,1.270414,103.820205,0.752667
117,1.277217301,103.838704,1.276456,103.84379,0.572257
118,1.277222539,103.8087204,1.278845,103.810545,0.270962
119,1.277274846,103.8429141,1.276456,103.84379,0.133044
120,1.277276965,103.8310934,1.283602,103.829747,0.715261
121,1.277283677,103.8069162,1.278845,103.810545,0.43921
122,1.277293529,103.8305157,1.283602,103.829747,0.702785
123,1.277305432,103.8299556,1.283602,103.829747,0.696629
124,1.277360665,103.8316002,1.283602,103.829747,0.720294
125,1.27736919,103.8082549,1.278845,103.810545,0.302636
126,1.277382607,103.821604,1.270414,103.820205,0.786125
127,1.277395442,103.8204697,1.270414,103.820205,0.772534
128,1.277416303,103.8393308,1.276456,103.84379,0.507506
129,1.277449094,103.8416667,1.276456,103.84379,0.260575
130,1.277731532,103.8197694,1.270414,103.820205,0.810586
131,1.277734578,103.8070933,1.278845,103.810545,0.403292
132,1.277760301,103.8207301,1.270414,103.820205,0.814415
133,1.277767863,103.8217024,1.270414,103.820205,0.830053
134,1.277785233,103.8300015,1.283602,103.829747,0.643811
135,1.277795391,103.8193413,1.270414,103.820205,0.821837
136,1.277799407,103.8414034,1.276456,103.84379,0.304327
137,1.277837333,103.8308146,1.283602,103.829747,0.648406
138,1.27784271,103.8409659,1.276456,103.84379,0.349709
139,1.27790985,103.8225358,1.270414,103.820205,0.868495
140,1.278053652,103.8215046,1.270414,103.820205,0.857046
141,1.27814726,103.826959,1.283602,103.829747,0.678287
142,1.278149681,103.8184753,1.270414,103.820205,0.876765
143,1.278156143,103.8295243,1.283602,103.829747,0.602685
144,1.278159465,103.8204753,1.270414,103.820205,0.856982
145,1.278287639,103.8275372,1.283602,103.829747,0.637022
146,1.278361373,103.819384,1.270414,103.820205,0.883517
147,1.27842357,103.8262376,1.283602,103.829747,0.693122
148,1.278600687,103.8270854,1.283602,103.829747,0.627354
149,1.278724029,103.8192204,1.270414,103.820205,0.925391
150,1.278738081,103.8283043,1.283602,103.829747,0.561282
151,1.278819907,103.8277237,1.283602,103.829747,0.574728
152,1.279078534,103.8267853,1.283602,103.829747,0.599021
153,1.279220088,103.8254414,1.283602,103.829747,0.681454
154,1.279426714,103.8260869,1.283602,103.829747,0.615691
155,1.279456601,103.8178976,1.278845,103.810545,0.821075
156,1.279550933,103.8274009,1.283602,103.829747,0.518488
157,1.279836902,103.8247578,1.283602,103.829747,0.694001
158,1.280189419,103.8281784,1.283602,103.829747,0.415771
159,1.280277649,103.8257236,1.283602,103.829747,0.579328
160,1.280286617,103.7907847,1.279109,103.790183,0.146424
161,1.280312427,103.8288223,1.283602,103.829747,0.378022
162,1.280412552,103.8292712,1.283602,103.829747,0.356626
163,1.280455613,103.8123177,1.278845,103.810545,0.265781
164,1.28049144,103.8121008,1.278845,103.810545,0.251245
165,1.280596876,103.79046,1.279109,103.790183,0.167385
166,1.28061365,103.8109679,1.278845,103.810545,0.201152
167,1.280649504,103.8107509,1.278845,103.810545,0.200844
168,1.280701976,103.8133534,1.278845,103.810545,0.373967
169,1.280736924,103.8131357,1.278845,103.810545,0.356223
170,1.28089298,103.8123553,1.278845,103.810545,0.303105
171,1.280917569,103.8283703,1.283602,103.829747,0.334041
172,1.280957713,103.8094402,1.278845,103.810545,0.263994
173,1.280999372,103.8092253,1.278845,103.810545,0.279857
174,1.281071165,103.8114057,1.278845,103.810545,0.264139
175,1.281119806,103.8299432,1.283602,103.829747,0.275335
176,1.281122693,103.8086879,1.278845,103.810545,0.325803
177,1.281153031,103.8288562,1.283602,103.829747,0.288371
178,1.281155585,103.8272666,1.283602,103.829747,0.386496
179,1.281165101,103.8084718,1.278845,103.810545,0.345039
180,1.28131575,103.8078619,1.278845,103.810545,0.40473
181,1.281387539,103.8093625,1.278845,103.810545,0.310418
182,1.281419862,103.8072869,1.278845,103.810545,0.461022
183,1.281420282,103.8256452,1.283602,103.829747,0.516321
184,1.281428248,103.8092428,1.278845,103.810545,0.320304
185,1.281476362,103.8081481,1.278845,103.810545,0.394737
186,1.281489151,103.827672,1.283602,103.829747,0.328498
187,1.281522804,103.8300358,1.283602,103.829747,0.232143
188,1.281524648,103.8290546,1.283602,103.829747,0.242284
189,1.281568739,103.8077317,1.278845,103.810545,0.434439
190,1.281606412,103.8423359,1.281609,103.841636,0.077894
191,1.281759271,103.8068622,1.278845,103.810545,0.521375
192,1.28178928,103.8259896,1.283602,103.829747,0.463725
193,1.281800622,103.8429082,1.281609,103.841636,0.143162
194,1.281945984,103.8279111,1.283602,103.829747,0.274367
195,1.281962435,103.8295591,1.283602,103.829747,0.182497
196,1.28209884,103.8252028,1.283602,103.829747,0.532345
197,1.282169371,103.8263337,1.283602,103.829747,0.411579
198,1.282172093,103.8429086,1.281609,103.841636,0.154712
199,1.282218691,103.8245363,1.287384,103.824695,0.571426
200,1.2823137,103.8293115,1.283602,103.829747,0.150473
201,1.282364496,103.8434482,1.281609,103.841636,0.2183
202,1.282646752,103.8233271,1.287384,103.824695,0.545494
203,1.282650681,103.8281785,1.283602,103.829747,0.203806
204,1.282681051,103.8265834,1.283602,103.829747,0.366514
205,1.282702702,103.8284912,1.283602,103.829747,0.171526
206,1.282757974,103.8252056,1.283602,103.829747,0.513965
207,1.282774432,103.8226125,1.287384,103.824695,0.559921
208,1.282856548,103.8294964,1.283602,103.829747,0.087019
209,1.282908655,103.824868,1.287384,103.824695,0.495235
210,1.28295504,103.8279833,1.283602,103.829747,0.208915
211,1.283029656,103.8272367,1.283602,103.829747,0.286454
212,1.283055893,103.8166928,1.278845,103.810545,0.827605
213,1.283062285,103.8260599,1.283602,103.829747,0.414661
214,1.283092071,103.8255924,1.283602,103.829747,0.465798
215,1.283246503,103.8278547,1.283602,103.829747,0.214235
216,1.283391874,103.828894,1.283602,103.829747,0.097734
217,1.283406756,103.8167569,1.278845,103.810545,0.85579
218,1.283466373,103.8261834,1.283602,103.829747,0.396883
219,1.283485112,103.8270438,1.283602,103.829747,0.301121
220,1.283527552,103.82083,1.287384,103.824695,0.605691
221,1.283578705,103.8238192,1.287384,103.824695,0.431911
222,1.28362147,103.825391,1.287384,103.824695,0.42319
223,1.283634676,103.8281281,1.283602,103.829747,0.180206
