,private_lat,private_lon,hawker_lat,hawker_lon,distance
866,1.31193961236165,103.799346050449,1.310908,103.794863,0.511795
867,1.31194266781347,103.879213970964,1.317083,103.879417,0.56884
868,1.31196298484589,103.797977203404,1.310908,103.794863,0.365687
869,1.31196323636668,103.903563342771,1.309414,103.901825,0.341884
870,1.31199338819405,103.908192181689,1.309414,103.901825,0.763853
871,1.31200443744473,103.885949377155,1.308252,103.885833,0.415127
872,1.31200537055565,103.806345933042,1.316246,103.805636,0.475517
873,1.3120066226844,103.90105908519,1.309414,103.901825,0.299083
874,1.31205162480465,103.893223633222,1.315142,103.895609,0.432718
875,1.31205928208952,103.924449849436,1.305775,103.915762,1.190678
876,1.31206999136037,103.883562422294,1.308252,103.885833,0.492021
877,1.31207838359164,103.914086801504,1.305775,103.915762,0.721499
878,1.3120786072378,103.878399313302,1.317083,103.879417,0.564832
879,1.31208149865107,103.885052375181,1.308252,103.885833,0.432266
880,1.3120905277435,103.904376279072,1.309414,103.901825,0.410132
881,1.31209143307307,103.91459627982,1.305775,103.915762,0.710385
882,1.31209477014011,103.800627193494,1.306892,103.800363,0.576046
883,1.31212237727812,103.894663569402,1.315142,103.895609,0.35008
884,1.31212684791503,103.887220221118,1.308252,103.885833,0.455426
885,1.31212753143258,103.886814275583,1.308252,103.885833,0.442232
886,1.31213522058592,103.799011037531,1.310908,103.794863,0.481169
887,1.31214958356147,103.93746826206,1.306684,103.935017,0.663074
888,1.31215774486282,103.804615563914,1.316246,103.805636,0.466105
889,1.31216250582269,103.898164171599,1.315142,103.895609,0.435208
890,1.3121734965646,103.756630347823,1.31189,103.759166,0.28393
891,1.31219203070087,103.889464697147,1.308252,103.885833,0.594275
892,1.31221104514144,103.886520466932,1.308252,103.885833,0.444406
893,1.31222097957874,103.920313771553,1.305775,103.915762,0.874439
894,1.31223039181849,103.906376869088,1.309414,103.901825,0.594649
895,1.31223185388565,103.915187125833,1.305775,103.915762,0.716826
896,1.31223388473672,103.909394998258,1.309414,103.901825,0.89832
897,1.31224455095574,103.911705394041,1.305775,103.915762,0.845915
898,1.31224551080103,103.896023408821,1.315142,103.895609,0.323582
899,1.312255052662,103.931772326684,1.306684,103.935017,0.714054
900,1.31225825932858,103.888161790535,1.308252,103.885833,0.513237
901,1.31225854673977,103.884662481524,1.308252,103.885833,0.461778
902,1.31225903171368,103.893139764788,1.315142,103.895609,0.420879
903,1.31228274672898,103.90955975689,1.309414,103.901825,0.917392
904,1.312294026994,103.798753102412,1.310908,103.794863,0.459258
905,1.31230752039196,103.934927867972,1.306684,103.935017,0.621899
906,1.3123178474915,103.883532317959,1.308252,103.885833,0.517379
907,1.31232393794378,103.885033090499,1.308252,103.885833,0.45897
908,1.31232627740589,103.910392393976,1.305775,103.915762,0.939082
909,1.31232804035988,103.903812210573,1.309414,103.901825,0.390815
910,1.31233587446047,103.909950111168,1.309414,103.901825,0.960234
911,1.31236169056653,103.836727303615,1.311892,103.839563,0.319831
912,1.31236368151801,103.797168759641,1.310908,103.794863,0.302914
913,1.31237446650293,103.921321907,1.305775,103.915762,0.956757
914,1.31239029325188,103.881504147527,1.317083,103.879417,0.568512
915,1.31242002290993,103.938628539327,1.306684,103.935017,0.750889
916,1.31242960215498,103.906088719109,1.309414,103.901825,0.579957
917,1.31243825333825,103.887341813982,1.308252,103.885833,0.49241
918,1.31244454232324,103.884576516653,1.308252,103.885833,0.48422
919,1.31245177706174,103.911015132544,1.305775,103.915762,0.907824
920,1.31246173086025,103.827302948052,1.311892,103.839563,1.365881
921,1.31250268727998,103.880368117228,1.317083,103.879417,0.51741
922,1.31251969868081,103.891760188852,1.315142,103.895609,0.517251
923,1.31253129900962,103.888139939124,1.308252,103.885833,0.538347
924,1.3125313169466,103.89458179066,1.315142,103.895609,0.310488
925,1.31253733235708,103.885402784916,1.308252,103.885833,0.476263
926,1.31255760997324,103.912955503031,1.305775,103.915762,0.812424
927,1.31256481224506,103.897986495436,1.315142,103.895609,0.388868
928,1.31256998658763,103.887209225771,1.308252,103.885833,0.501425
929,1.3125776569644,103.886492342637,1.308252,103.885833,0.483905
930,1.31258795766353,103.921245742582,1.305775,103.915762,0.969524
931,1.31259022186903,103.915646212158,1.305775,103.915762,0.753702
932,1.31259091846869,103.901995206181,1.309414,103.901825,0.351798
933,1.31259777837018,103.884583890504,1.308252,103.885833,0.500238
934,1.31262459116981,103.911248716073,1.305775,103.915762,0.90881
