,hdb_lat,hdb_lon,supermarket_lat,supermarket_lon,distance
8952,1.435321386,103.801399,1.439916,103.800701,0.513953
8953,1.435326096,103.7737407,1.432626,103.774051,0.300553
8954,1.435337476,103.837523,1.436114,103.837605,0.086348
8955,1.435359721,103.7988337,1.431098,103.798508,0.472632
8956,1.435372245,103.7946751,1.437557,103.795136,0.246964
8957,1.435378807,103.7963477,1.437557,103.795136,0.276031
8958,1.435392246,103.835501,1.435761,103.836724,0.142078
8959,1.435392995,103.8291771,1.430618,103.828763,0.530002
8960,1.43540518,103.77636,1.432626,103.774051,0.400581
8961,1.435415506,103.7774071,1.433513,103.779747,0.334755
8962,1.435426092,103.7969988,1.437557,103.795136,0.313836
8963,1.435426794,103.7742325,1.432626,103.774051,0.310356
8964,1.435477541,103.8392765,1.436114,103.837605,0.198881
8965,1.435530626,103.8416736,1.433032,103.841601,0.276404
8966,1.435558747,103.8276991,1.430618,103.828763,0.559005
8967,1.435565379,103.7980902,1.437557,103.795136,0.395702
8968,1.43558818,103.8023676,1.439984,103.801293,0.500562
8969,1.4356383,103.7894593,1.435078,103.78662,0.321988
8970,1.435638536,103.7903261,1.435078,103.78662,0.417064
8971,1.43563898,103.7916546,1.437557,103.795136,0.441678
8972,1.435660494,103.842373,1.433032,103.841601,0.303077
8973,1.43566901,103.7926048,1.437557,103.795136,0.350611
8974,1.435696542,103.7755158,1.432626,103.774051,0.376629
8975,1.435712135,103.7994777,1.439916,103.800701,0.484367
8976,1.435743957,103.7941341,1.437557,103.795136,0.229396
8977,1.435762303,103.8367289,1.435761,103.836724,0.000564
8978,1.43576275,103.77403,1.432626,103.774051,0.346854
8979,1.435763817,103.772798,1.432626,103.774051,0.373935
8980,1.435771805,103.8317838,1.435761,103.836724,0.54977
8981,1.435780112,103.8391709,1.436114,103.837605,0.178129
8982,1.435784121,103.835379,1.435761,103.836724,0.1497
8983,1.43580262,103.8350717,1.435761,103.836724,0.183933
8984,1.435804243,103.8018417,1.439984,103.801293,0.466193
8985,1.435805046,103.795254,1.437557,103.795136,0.194167
8986,1.435856504,103.7762941,1.432626,103.774051,0.43579
8987,1.435874166,103.8385037,1.436114,103.837605,0.103468
8988,1.435885039,103.7765983,1.433513,103.779747,0.437695
8989,1.435976249,103.7962136,1.437557,103.795136,0.211974
8990,1.435982685,103.7819327,1.433513,103.779747,0.365703
8991,1.435987078,103.8286415,1.430618,103.828763,0.59384
8992,1.435997973,103.7990658,1.439916,103.800701,0.469901
8993,1.435999884,103.7895078,1.435078,103.78662,0.337148
8994,1.436011336,103.7903669,1.435078,103.78662,0.429555
8995,1.436051363,103.7939984,1.437557,103.795136,0.209152
8996,1.436073712,103.7914885,1.437557,103.795136,0.437795
8997,1.436082949,103.7811996,1.433513,103.779747,0.326933
8998,1.436114254,103.8376052,1.436114,103.837605,3.6e-05
8999,1.436115699,103.7770874,1.433513,103.779747,0.412826
9000,1.436117867,103.7732454,1.432626,103.774051,0.396384
9001,1.436117888,103.7740844,1.432626,103.774051,0.386133
9002,1.436133348,103.7952643,1.437557,103.795136,0.158066
9003,1.436162981,103.8391111,1.436114,103.837605,0.167693
9004,1.436198457,103.7977989,1.437557,103.795136,0.332241
9005,1.436219683,103.7964961,1.437557,103.795136,0.211603
9006,1.436220916,103.7984103,1.437557,103.795136,0.393191
9007,1.436266289,103.8029427,1.439984,103.801293,0.450217
9008,1.436283861,103.8316066,1.435761,103.836724,0.572416
9009,1.43630991,103.834571,1.435761,103.836724,0.247164
9010,1.436318427,103.7904601,1.435078,103.78662,0.448817
9011,1.436318452,103.789948,1.435078,103.78662,0.394939
9012,1.436465871,103.7815769,1.433513,103.779747,0.384812
9013,1.436467556,103.7930726,1.437557,103.795136,0.259306
9014,1.436490988,103.7939721,1.437557,103.795136,0.175131
9015,1.436497056,103.8023006,1.439984,103.801293,0.401543
9016,1.436533109,103.8386779,1.436114,103.837605,0.128076
9017,1.436570779,103.7952529,1.437557,103.795136,0.109825
9018,1.43660111,103.831091,1.435761,103.836724,0.633713
9019,1.43661283,103.8323565,1.435761,103.836724,0.495079
9020,1.436621232,103.7809767,1.433513,103.779747,0.369935
9021,1.436637071,103.7773976,1.433513,103.779747,0.433231
9022,1.436641713,103.7996016,1.439916,103.800701,0.382167
9023,1.43665493,103.7962315,1.437557,103.795136,0.157518
9024,1.436690603,103.7985579,1.437557,103.795136,0.392671
9025,1.436717378,103.8031925,1.439984,103.801293,0.418514
9026,1.436724784,103.8369664,1.436114,103.837605,0.098039
9027,1.436725763,103.7971476,1.437557,103.795136,0.241995
9028,1.436746881,103.7767256,1.433513,103.779747,0.490839
9029,1.436761756,103.79334,1.437557,103.795136,0.218356
9030,1.436769434,103.7822242,1.436008,103.785689,0.394665
9031,1.436844312,103.7906131,1.435078,103.78662,0.485399
9032,1.436844323,103.7898448,1.435078,103.78662,0.408577
9033,1.436844762,103.7815791,1.433513,103.779747,0.421064
9034,1.436864723,103.8027013,1.439984,103.801293,0.37885
9035,1.436909085,103.8015994,1.439984,103.801293,0.341714
9036,1.43691621,103.832132,1.435761,103.836724,0.526743
9037,1.436924425,103.7925688,1.437557,103.795136,0.294128
9038,1.436985964,103.7991179,1.439916,103.800701,0.36879
9039,1.43700349,103.8388247,1.436114,103.837605,0.167623
9040,1.437008763,103.8393343,1.436114,103.837605,0.216388
9041,1.437033489,103.7770693,1.433513,103.779747,0.490238
9042,1.437050473,103.8009426,1.439916,103.800701,0.317994
