,private_lat,private_lon,mall_lat,mall_lon,distance
1101,1.31418513616608,103.882905262718,1.31470866320366,103.893508573389,1.181466
1102,1.3141912983094,103.891500511011,1.31470866320366,103.893508573389,0.230684
1103,1.31420997374251,103.938613920648,1.32475054237912,103.92918919889,1.567989
1104,1.31423886255374,103.846333967549,1.31719450988559,103.843611443038,0.445662
1105,1.31424399792716,103.844686730014,1.31719450988559,103.843611443038,0.347507
1106,1.31425012958905,103.907321618868,1.30522306203042,103.905043928938,1.02985
1107,1.31425123117332,103.836041963599,1.30730468891062,103.833818438639,0.80699
1108,1.31427202290188,103.783302292911,1.30681500712523,103.788462732266,1.004852
1109,1.31427299639943,103.9023720141,1.31899666903663,103.894894915962,0.982474
1110,1.31431126151618,103.928972680331,1.32475054237912,103.92918919889,1.154574
1111,1.31431128029729,103.890714083323,1.31470866320366,103.893508573389,0.314089
1112,1.31431580944403,103.9036634713,1.30522306203042,103.905043928938,1.017099
1113,1.31431777216437,103.90200952862,1.31899666903663,103.894894915962,0.945832
1114,1.31432459090656,103.923035026887,1.32475054237912,103.92918919889,1.340949
1115,1.31432631656582,103.831065213527,1.30730468891062,103.833818438639,0.83469
1116,1.31433769177991,103.905621178011,1.30522306203042,103.905043928938,1.009894
1117,1.31435904347144,103.904960642668,1.30522306203042,103.905043928938,1.010252
1118,1.31437879043026,103.783777032542,1.30681500712523,103.788462732266,0.985617
1119,1.31437895447395,103.932248310701,1.32475054237912,103.92918919889,1.196303
1120,1.31438189347147,103.854233088273,1.3113827185663,103.856626855768,0.425384
1121,1.31439790095774,103.805164614791,1.30681500712523,103.788462732266,2.039127
1122,1.31440664015595,103.886314457707,1.31470866320366,103.893508573389,0.801332
1123,1.31441038654771,103.884629689864,1.31470866320366,103.893508573389,0.988685
1124,1.31441955822584,103.914957327013,1.30522306203042,103.905043928938,1.500429
1125,1.31442952129569,103.909113128686,1.30522306203042,103.905043928938,1.114188
1126,1.31443985425782,103.908849449218,1.30522306203042,103.905043928938,1.103642
1127,1.31444000148435,103.882324003158,1.31881486980278,103.892580778242,1.239754
1128,1.31447883237245,103.839899712589,1.31719450988559,103.843611443038,0.510692
1129,1.31449452187166,103.842505898673,1.31719450988559,103.843611443038,0.322909
1130,1.31451692746075,103.832206862263,1.30730468891062,103.833818438639,0.817411
1131,1.31452335408114,103.754787672361,1.31489619639366,103.764423054189,1.073118
1132,1.31457225024614,103.916332438404,1.30522306203042,103.905043928938,1.626965
1133,1.31458588919367,103.836877329386,1.31719450988559,103.843611443038,0.803035
1134,1.3145899979855,103.844453396673,1.31719450988559,103.843611443038,0.302853
1135,1.31461476672549,103.78143191715,1.30681500712523,103.788462732266,1.164509
1136,1.31461533619848,103.903415773085,1.30522306203042,103.905043928938,1.054238
1137,1.3146210829981,103.756653207035,1.31489619639366,103.764423054189,0.865244
1138,1.31463066398432,103.914444947529,1.30522306203042,103.905043928938,1.475377
1139,1.31463629333353,103.9346461848,1.32475054237912,103.92918919889,1.272636
1140,1.3146418436756,103.846342585739,1.31719450988559,103.843611443038,0.414797
1141,1.31464830253379,103.844819093226,1.31719450988559,103.843611443038,0.31198
1142,1.31465166781856,103.883288149427,1.31881486980278,103.892580778242,1.132009
1143,1.3146621502983,103.834178223122,1.30730468891062,103.833818438639,0.814535
1144,1.31467262956125,103.839010845653,1.31719450988559,103.843611443038,0.583015
1145,1.31467316091814,103.9044149803,1.30522306203042,103.905043928938,1.047285
1146,1.31469684747176,103.882628937424,1.31881486980278,103.892580778242,1.197496
1147,1.31471753038515,103.841428522625,1.31719450988559,103.843611443038,0.366109
1148,1.314721472629,103.778773989645,1.30681500712523,103.788462732266,1.388157
1149,1.31473143131445,103.906909758761,1.30522306203042,103.905043928938,1.071696
1150,1.31474326765884,103.942302354429,1.32475054237912,103.92918919889,1.831449
1151,1.31474675523302,103.834590248987,1.30730468891062,103.833818438639,0.827376
1152,1.31474773009184,103.929502058544,1.32475054237912,103.92918919889,1.106608
1153,1.31478575074088,103.82706249682,1.30665484543191,103.829588045188,0.941984
1154,1.31479673511902,103.90533522592,1.30522306203042,103.905043928938,1.059104
1155,1.31480226743889,103.893477464106,1.31470866320366,103.893508573389,0.010914
1156,1.3148123135852,103.942590382344,1.32475054237912,103.92918919889,1.852554
1157,1.31481342923106,103.888046887621,1.31470866320366,103.893508573389,0.607943
1158,1.31481743950624,103.888376977987,1.31470866320366,103.893508573389,0.571224
1159,1.31483629325537,103.831578486871,1.30730468891062,103.833818438639,0.869315
1160,1.31484303004794,103.756517672132,1.31489619639366,103.764423054189,0.879813
1161,1.3148713210213,103.897207799255,1.31470866320366,103.893508573389,0.412081
1162,1.31488272296555,103.907503321323,1.30522306203042,103.905043928938,1.102627
1163,1.31488574439802,103.936123920045,1.32475054237912,103.92918919889,1.336213
1164,1.31489027644596,103.832928141724,1.30730468891062,103.833818438639,0.844607
1165,1.31489095859612,103.907792137947,1.30522306203042,103.905043928938,1.111918
1166,1.31489334383528,103.792492060927,1.30681500712523,103.788462732266,0.9995
1167,1.31490075979298,103.840460862924,1.31719450988559,103.843611443038,0.432746
1168,1.31490223556133,103.904709645973,1.30522306203042,103.905043928938,1.07092
1169,1.31490658738376,103.833656788561,1.30730468891062,103.833818438639,0.840771
1170,1.314912182543,103.935388869685,1.32475054237912,103.92918919889,1.288224
1171,1.31491406100062,103.924170068973,1.32475054237912,103.92918919889,1.222715
1172,1.31491647149422,103.755640432995,1.31489619639366,103.764423054189,0.977424
1173,1.314922413126,103.844843392551,1.31719450988559,103.843611443038,0.286212
1174,1.31492827462524,103.905580887804,1.30522306203042,103.905043928938,1.074815
1175,1.31493319839362,103.934646721404,1.32475054237912,103.92918919889,1.243913
1176,1.3149472094487,103.907632064561,1.30522306203042,103.905043928938,1.113157
1177,1.31495935076574,103.85355608987,1.3113827185663,103.856626855768,0.522685
1178,1.31496035037871,103.838459402687,1.31719450988559,103.843611443038,0.624328
1179,1.31496483868511,103.899530731355,1.31470866320366,103.893508573389,0.670807
1180,1.31497453024316,103.904958377267,1.30522306203042,103.905043928938,1.078309
1181,1.31498372739716,103.889070236309,1.31470866320366,103.893508573389,0.49488
1182,1.3149895743528,103.85470923791,1.3113827185663,103.856626855768,0.452337
1183,1.31498987777031,103.829293820223,1.30665484543191,103.829588045188,0.922227
