,hdb_lat,hdb_lon,mrtlrt_lat,mrtlrt_lon,distance
6216,1.37814544,103.9017673,1.38403076701516,103.902257550997,0.653053
6217,1.378156335,103.7398086,1.38029828610944,103.745291799876,0.654564
6218,1.378159218,103.8954097,1.38277158353267,103.893092468701,0.571501
6219,1.378161861,103.89069,1.38277158353267,103.893092468701,0.575585
6220,1.378166683,103.8783662,1.38933878100909,103.885937358519,1.495336
6221,1.378167466,103.7683657,1.37775464931119,103.766667312264,0.194443
6222,1.378170458,103.7402524,1.38029828610944,103.745291799876,0.608178
6223,1.378177516,103.7371072,1.38029828610944,103.745291799876,0.940546
6224,1.378177638,103.7345505,1.38029828610944,103.745291799876,1.218154
6225,1.378183076,103.8786414,1.38933878100909,103.885937358519,1.476781
6226,1.378183506,103.7712914,1.37612653786325,103.771279750058,0.227453
6227,1.378184341,103.7351266,1.38029828610944,103.745291799876,1.155156
6228,1.378203494,103.7564515,1.37862494944389,103.758033623131,0.182133
6229,1.378208601,103.9346461,1.37295187483845,103.949257638047,1.726851
6230,1.378213713,103.751983,1.37665929343111,103.753699631572,0.25698
6231,1.378220406,103.8794205,1.38933878100909,103.885937358519,1.427388
6232,1.378222383,103.7438852,1.38029828610944,103.745291799876,0.277838
6233,1.378229936,103.8796963,1.38933878100909,103.885937358519,1.411123
6234,1.378238594,103.8437197,1.3817576070024,103.844800823243,0.407291
6235,1.378261064,103.9337736,1.37295187483845,103.949257638047,1.820439
6236,1.378266938,103.7411106,1.38029828610944,103.745291799876,0.516692
6237,1.378270725,103.8874851,1.38277158353267,103.893092468701,0.798186
6238,1.378292053,103.8372519,1.37210317322243,103.836790769973,0.686256
6239,1.378292264,103.7445742,1.38029828610944,103.745291799876,0.235754
6240,1.378297688,103.7540714,1.37665929343111,103.753699631572,0.18583
6241,1.378303571,103.7501081,1.37861216691834,103.749051503721,0.122437
6242,1.378308758,103.903842,1.38403076701516,103.902257550997,0.656822
6243,1.378312421,103.7677633,1.37775464931119,103.766667312264,0.136677
6244,1.378324137,103.7529508,1.37665929343111,103.753699631572,0.202074
6245,1.378335656,103.8865532,1.38277158353267,103.893092468701,0.877608
6246,1.378339938,103.9342765,1.37295187483845,103.949257638047,1.770471
6247,1.378368761,103.9355882,1.37295187483845,103.949257638047,1.634912
6248,1.378381818,103.7693595,1.37775464931119,103.766667312264,0.307528
6249,1.378382153,103.9410968,1.37295187483845,103.949257638047,1.088747
6250,1.378410614,103.7572511,1.37862494944389,103.758033623131,0.090252
6251,1.378419649,103.9377905,1.37295187483845,103.949257638047,1.412126
6252,1.378427104,103.7549118,1.37665929343111,103.753699631572,0.237505
6253,1.378433438,103.8880231,1.38277158353267,103.893092468701,0.740524
6254,1.378440932,103.9383118,1.37295187483845,103.949257638047,1.360973
6255,1.378448286,103.8828569,1.38277158353267,103.893092468701,1.235336
6256,1.378449874,103.8918977,1.38277158353267,103.893092468701,0.496026
6257,1.378452871,103.8939404,1.38277158353267,103.893092468701,0.486775
6258,1.378456616,103.8392927,1.3817576070024,103.844800823243,0.713429
6259,1.378466901,103.9008042,1.38403076701516,103.902257550997,0.636129
6260,1.378477752,103.8958885,1.38277158353267,103.893092468701,0.567669
6261,1.37848151,103.7556754,1.37862494944389,103.758033623131,0.26292
6262,1.378488498,103.8907222,1.38277158353267,103.893092468701,0.542106
6263,1.378491091,103.9391017,1.37295187483845,103.949257638047,1.285525
6264,1.378491093,103.8890064,1.38277158353267,103.893092468701,0.656357
6265,1.378491449,103.896308,1.38277158353267,103.893092468701,0.593334
6266,1.37849281,103.8840164,1.38277158353267,103.893092468701,1.115371
6267,1.37850497,103.9367909,1.37295187483845,103.949257638047,1.517201
6268,1.378506803,103.9347957,1.37295187483845,103.949257638047,1.722662
6269,1.378507992,103.7507074,1.37861216691834,103.749051503721,0.18464
6270,1.378508736,103.7732123,1.38001549415384,103.772661218987,0.177539
6271,1.378518984,103.7496307,1.37861216691834,103.749051503721,0.065276
6272,1.378533377,103.7717891,1.38001549415384,103.772661218987,0.190468
6273,1.378555604,103.7687488,1.37775464931119,103.766667312264,0.247997
6274,1.378562756,103.7660978,1.37775464931119,103.766667312264,0.109551
6275,1.378567561,103.7706474,1.38001549415384,103.772661218987,0.275427
6276,1.378569314,103.7384757,1.38029828610944,103.745291799876,0.782268
6277,1.3785821,103.8367603,1.38493120661204,103.836347461689,0.703554
6278,1.378588577,103.8386447,1.37210317322243,103.836790769973,0.746212
6279,1.378592826,103.7371264,1.38029828610944,103.745291799876,0.928068
6280,1.378597992,103.8934273,1.38277158353267,103.893092468701,0.462996
6281,1.37860431,103.7409618,1.38029828610944,103.745291799876,0.517
6282,1.378607029,103.9351562,1.37295187483845,103.949257638047,1.689312
6283,1.378622287,103.8850528,1.38277158353267,103.893092468701,1.005494
6284,1.378634505,103.8776155,1.39194419246154,103.876279656924,1.479207
6285,1.378635453,103.7361868,1.38029828610944,103.745291799876,1.029819
6286,1.378639617,103.9398539,1.37295187483845,103.949257638047,1.220961
6287,1.378659893,103.7520777,1.37665929343111,103.753699631572,0.285512
6288,1.378670708,103.7685384,1.37775464931119,103.766667312264,0.231559
6289,1.37869966,103.7425323,1.38029828610944,103.745291799876,0.354339
6290,1.37870362,103.7397957,1.38029828610944,103.745291799876,0.636557
6291,1.378713243,103.8785236,1.38933878100909,103.885937358519,1.435671
6292,1.378720938,103.7429237,1.38029828610944,103.745291799876,0.316028
6293,1.378727637,103.9380753,1.37295187483845,103.949257638047,1.398767
6294,1.378743306,103.8896814,1.38277158353267,103.893092468701,0.585242
6295,1.378754548,103.7531634,1.37665929343111,103.753699631572,0.239245
6296,1.378759489,103.8794964,1.38933878100909,103.885937358519,1.371947
6297,1.378780982,103.8951536,1.38277158353267,103.893092468701,0.497318
6298,1.37878538,103.880486,1.38933878100909,103.885937358519,1.315217
6299,1.378803344,103.8903736,1.38277158353267,103.893092468701,0.532998
6300,1.378803995,103.7679688,1.37775464931119,103.766667312264,0.185585
6301,1.378804588,103.8942838,1.38277158353267,103.893092468701,0.458248
6302,1.378807391,103.9386819,1.37295187483845,103.949257638047,1.343291
6303,1.378812052,103.9042296,1.38403076701516,103.902257550997,0.617383
6304,1.378817905,103.7580238,1.37862494944389,103.758033623131,0.021364
6305,1.378836782,103.8959162,1.38277158353267,103.893092468701,0.536707
