,private_lat,private_lon,park_lat,park_lon,distance
2833,1.36727709259952,103.876501360155,1.365945,103.877541,0.187303
2834,1.36751127765712,103.878563702249,1.365945,103.877541,0.207241
2835,1.36761446171104,103.770432741837,1.367624,103.768831,0.178258
2836,1.36780011813342,103.866299664542,1.370199,103.865482,0.28043
2837,1.36785603651596,103.769076354996,1.367624,103.768831,0.037468
2838,1.36787751427939,103.88363449466,1.366923,103.881593,0.250513
2839,1.36790887029299,103.865148235046,1.370199,103.865482,0.255941
2840,1.36793371753278,103.879462740047,1.368977,103.879762,0.120072
2841,1.36793820007039,103.880027001443,1.368977,103.879762,0.118591
2842,1.36796109537611,103.876602975034,1.365945,103.877541,0.246161
2843,1.36797019834595,103.892635802385,1.369532,103.892819,0.173895
2844,1.36800102584372,103.877970200848,1.368977,103.879762,0.226735
2845,1.36801293055975,103.769465768644,1.367624,103.768831,0.082703
2846,1.36807973319298,103.887702386532,1.367786,103.890628,0.327202
2847,1.36811405585351,103.893029555595,1.369532,103.892819,0.15853
2848,1.3682399094409,103.888940713812,1.367786,103.890628,0.194367
2849,1.36828418727297,103.862803511916,1.370199,103.865482,0.365627
2850,1.36831113318985,103.892846308214,1.369532,103.892819,0.135031
2851,1.36832364019818,103.882166255455,1.366923,103.881593,0.167501
2852,1.36849381331647,103.89911767534,1.369532,103.892819,0.710305
2853,1.36849628172236,103.970019150268,1.362876,103.972115,0.66379
2854,1.36856100156132,103.893479966864,1.369532,103.892819,0.130148
2855,1.36862660899055,103.893240842793,1.369532,103.892819,0.110574
2856,1.36866078387096,103.887515018951,1.367786,103.890628,0.359688
2857,1.36877358881314,103.776059657834,1.368025,103.778272,0.259749
2858,1.36889804410344,103.95979978405,1.371519,103.952449,0.867872
2859,1.36893157314574,103.751420224364,1.36731,103.75244,0.212203
2860,1.36905208736507,103.768828339285,1.367624,103.768831,0.157911
2861,1.36949474271547,103.751392712542,1.36825,103.753314,0.254286
2862,1.36951516897318,103.765201945383,1.370663,103.76469,0.139122
2863,1.36955714917919,103.827657960529,1.369016,103.826594,0.132667
2864,1.36972238096212,103.772285027359,1.368951,103.773341,0.145209
2865,1.36984201740928,103.776039105676,1.368951,103.773341,0.316017
2866,1.36987075010142,103.867524605858,1.370199,103.865482,0.230197
2867,1.37002543874443,103.84051981139,1.372724,103.839545,0.317502
2868,1.37003601708731,103.751091000503,1.372286,103.751977,0.267618
2869,1.37005249230226,103.832419794353,1.371097,103.832413,0.115499
2870,1.37026590756704,103.945204473783,1.372195,103.941115,0.502618
2871,1.37029548329325,103.770537826947,1.371359,103.768925,0.214582
2872,1.3703043031814,103.848386313887,1.370692,103.850477,0.236584
2873,1.37033365760834,103.946520522372,1.372195,103.941115,0.635803
2874,1.37043807551875,103.765306437038,1.370663,103.76469,0.072971
2875,1.37044414424129,103.771374258434,1.368951,103.773341,0.274163
2876,1.37046017848118,103.829783874855,1.37253,103.829257,0.236262
2877,1.37057873873675,103.840247028767,1.372724,103.839545,0.249747
2878,1.37061123924069,103.751163029193,1.372286,103.751977,0.206155
2879,1.37073588285709,103.895120805047,1.369532,103.892819,0.288687
2880,1.37077523948031,103.831831266911,1.371097,103.832413,0.073872
2881,1.37090145392594,103.83153556011,1.371097,103.832413,0.100014
2882,1.37090705499323,103.753066713389,1.372286,103.751977,0.194823
2883,1.37099041682599,103.771844994529,1.373251,103.772119,0.251817
2884,1.37102737896223,103.75112347987,1.372286,103.751977,0.168497
2885,1.37106155750371,103.828980042503,1.37253,103.829257,0.165272
2886,1.37111287542811,103.833066675717,1.371706,103.832815,0.071315
2887,1.37114853939036,103.829802856635,1.37253,103.829257,0.164391
2888,1.37115324666442,103.839984961789,1.372724,103.839545,0.180455
2889,1.37118040177814,103.773149721976,1.368951,103.773341,0.247433
2890,1.37120910726776,103.776854712827,1.368025,103.778272,0.385798
2891,1.37128183000949,103.773328845452,1.373251,103.772119,0.256006
2892,1.37133275077356,103.82890315972,1.37253,103.829257,0.138118
2893,1.37140419385881,103.767646235825,1.372414,103.767994,0.118176
2894,1.37141634507612,103.943621458548,1.372195,103.941115,0.291924
2895,1.37150158736384,103.945323459304,1.372195,103.941115,0.474585
2896,1.37169767607082,103.833467249002,1.371706,103.832815,0.072593
2897,1.37172659916808,103.839710506841,1.372724,103.839545,0.111815
2898,1.37174458857726,103.832631303347,1.371706,103.832815,0.020884
2899,1.37175697361337,103.828179854072,1.37253,103.829257,0.147228
2900,1.37178480194116,103.752250256258,1.372286,103.751977,0.063215
2901,1.37184971189883,103.829880405898,1.37253,103.829257,0.102331
2902,1.37193811643768,103.769045721753,1.372175,103.769357,0.04343
2903,1.37193978723098,103.83960435957,1.372724,103.839545,0.086966
2904,1.37194467499453,103.764951864708,1.370663,103.76469,0.144686
2905,1.37200363141488,103.942219450967,1.372195,103.941115,0.12472
2906,1.37213542855189,103.839025126117,1.372724,103.839545,0.087079
2907,1.37218341584864,103.830350940382,1.37253,103.829257,0.127632
2908,1.37224069138989,103.829727801774,1.37253,103.829257,0.061389
2909,1.37226141589565,103.768676452358,1.372175,103.769357,0.076337
2910,1.37233349665866,103.76417768473,1.371598,103.763649,0.100379
2911,1.37243550668123,103.769531132423,1.372175,103.769357,0.034717
2912,1.37244915207035,103.940635779587,1.372195,103.941115,0.060283
2913,1.37250010531178,103.839963251759,1.372724,103.839545,0.052721
2914,1.37251416892516,103.827907135138,1.37253,103.829257,0.150234
2915,1.37258659094879,103.829602890074,1.37253,103.829257,0.038999
2916,1.37281529879976,103.831104853901,1.373488,103.82983,0.160193
2917,1.37294055562448,103.838913321064,1.372724,103.839545,0.074265
2918,1.37301159823673,103.829861906906,1.373488,103.82983,0.052798
2919,1.37301868829433,103.772760072432,1.373251,103.772119,0.075827
2920,1.3730356977878,103.828002010473,1.37253,103.829257,0.150443
2921,1.37305038178647,103.902039407109,1.377165,103.898595,0.594924
2922,1.37305703366527,103.942459094386,1.372195,103.941115,0.177371
2923,1.37313692581166,103.772558684793,1.373251,103.772119,0.050531
2924,1.37323596880833,103.771003676487,1.373251,103.772119,0.124133
2925,1.37338472472362,103.838512248838,1.372724,103.839545,0.136188
2926,1.37344018770058,103.940779151023,1.372195,103.941115,0.142669
2927,1.37345331724801,103.877373281034,1.368977,103.879762,0.561838
2928,1.37345340218445,103.827483490076,1.37253,103.829257,0.222217
