,private_lat,private_lon,supermarket_lat,supermarket_lon,distance
2140,1.3383468396833,103.771505115114,1.340827,103.774213,0.407463
2141,1.33848269211186,103.86884654561,1.332536,103.867037,0.687702
2142,1.33852585514011,103.764674615198,1.340827,103.774213,1.09159
2143,1.33855314993997,103.771497314858,1.340827,103.774213,0.393139
2144,1.33856345031166,103.779679697449,1.338657,103.77856,0.125039
2145,1.33856583019737,103.953172679487,1.342706,103.953025,0.458094
2146,1.33856647295863,103.928528157395,1.338242,103.923304,0.582499
2147,1.33861238859856,103.691963011305,1.342018,103.691483,0.380345
2148,1.33872443741358,103.927577934044,1.338242,103.923304,0.478625
2149,1.33876591833556,103.760659311054,1.336831,103.754341,0.734991
2150,1.33878662688532,103.831738671552,1.351845,103.836054,1.521699
2151,1.33881019635958,103.883036330141,1.338882,103.886109,0.342047
2152,1.33881354954982,103.691791692079,1.342018,103.691483,0.355993
2153,1.33885390897837,103.769182996429,1.340827,103.774213,0.600799
2154,1.33886657762196,103.691841383194,1.342018,103.691483,0.350743
2155,1.3390329840615,103.884536646095,1.338882,103.886109,0.175781
2156,1.33904654811642,103.771587753402,1.340827,103.774213,0.352303
2157,1.33917169739151,103.780127443358,1.338657,103.77856,0.183489
2158,1.33921171778687,103.787734586051,1.336615,103.786969,0.299506
2159,1.33922422341012,103.764365793403,1.340827,103.774213,1.110126
2160,1.33923570721256,103.718265334246,1.335042,103.720268,0.514498
2161,1.3392433734822,103.76151502467,1.336831,103.754341,0.841775
2162,1.33924560642212,103.869770060845,1.332536,103.867037,0.801842
2163,1.33933029403445,103.705987854084,1.339315,103.705351,0.070895
2164,1.33933394041963,103.767330021841,1.340827,103.774213,0.783591
2165,1.33936801996841,103.956237439087,1.342706,103.953025,0.513854
2166,1.3394919363328,103.959027063719,1.334325,103.962389,0.682941
2167,1.33950014743524,103.778815124223,1.338657,103.77856,0.097458
2168,1.33954520418255,103.951022111706,1.342706,103.953025,0.414533
2169,1.3395533359681,103.691905732514,1.342018,103.691483,0.276561
2170,1.33959134743181,103.718231309062,1.335042,103.720268,0.55175
2171,1.3398938388841,103.766610017795,1.340827,103.774213,0.852398
2172,1.33992833279758,103.780805312005,1.338657,103.77856,0.286708
2173,1.3399560041596,103.766312091851,1.340827,103.774213,0.884545
2174,1.34003565344056,103.77080391577,1.340827,103.774213,0.389354
2175,1.34004658950475,103.770121496506,1.340827,103.774213,0.463445
2176,1.34005345986134,103.831911534478,1.351845,103.836054,1.38295
2177,1.3401231302675,103.954553708187,1.342706,103.953025,0.332433
2178,1.34013098513009,103.831173807641,1.351845,103.836054,1.404532
2179,1.34013836909782,103.779976424044,1.338657,103.77856,0.227331
2180,1.34031846610707,103.790613235336,1.338995,103.793134,0.31641
2181,1.34047509435306,103.716756016953,1.335042,103.720268,0.716713
2182,1.34052381589455,103.767183437802,1.340827,103.774213,0.783032
2183,1.34054847886549,103.773649129593,1.340827,103.774213,0.069903
2184,1.34055585014186,103.774342109131,1.340827,103.774213,0.033247
2185,1.34059275141039,103.779559434044,1.338657,103.77856,0.241219
2186,1.34068000847443,103.954108214241,1.342706,103.953025,0.254399
2187,1.34068943096191,103.880558721941,1.345608,103.882696,0.593608
2188,1.34071832478507,103.837072715179,1.351845,103.836054,1.235543
