QUERY,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE
REGENCY SUITES KIM TIAN ROAD,REGENCY SUITES,38,KIM TIAN ROAD,REGENCY SUITES,38 KIM TIAN ROAD REGENCY SUITES SINGAPORE 169262,169262,27533.4061112283,29641.454312453,1.28434128785856,103.82912604887
THE PATERSON PATERSON ROAD,THE PATERSON EDGE,26,PATERSON ROAD,THE PATERSON EDGE,26 PATERSON ROAD THE PATERSON EDGE SINGAPORE 238518,238518,27594.5957763074,31659.6176801175,1.30259284877615,103.829675836055
ECHELON ALEXANDRA VIEW,ECHELON,5,ALEXANDRA VIEW,ECHELON,5 ALEXANDRA VIEW ECHELON SINGAPORE 158750,158750,26294.044502493,30373.7634495497,1.29096399148778,103.817989855708
NIN RESIDENCE PHENG GECK AVENUE,NIN RESIDENCE,81,PHENG GECK AVENUE,NIN RESIDENCE,81 PHENG GECK AVENUE NIN RESIDENCE SINGAPORE 348269,348269,32059.6465567052,34999.0754551273,1.33279345626326,103.869796804823
JERVOIS TREASURES JERVOIS ROAD,JERVOIS TREASURES,31,JERVOIS ROAD,JERVOIS TREASURES,31 JERVOIS ROAD JERVOIS TREASURES SINGAPORE 249080,249080,26910.8311276594,30579.024873089,1.29282033122383,103.823531934289
ONE DUSUN RESIDENCES JALAN DUSUN,ONE DUSUN RESIDENCES,1,JALAN DUSUN,ONE DUSUN RESIDENCES,1 JALAN DUSUN ONE DUSUN RESIDENCES SINGAPORE 329363,329363,29152.4788189977,34354.6110894848,1.32696539864482,103.84367423097
LUMIERE MISTRI ROAD,LUMIERE,2,MISTRI ROAD,LUMIERE,2 MISTRI ROAD LUMIERE SINGAPORE 079624,079624,29414.1345509551,28526.9923883434,1.27426245685335,103.846025087372
WOODSVILLE 28 WOODSVILLE CLOSE,WOODSVILLE 28,26,WOODSVILLE CLOSE,WOODSVILLE 28,26 WOODSVILLE CLOSE WOODSVILLE 28 SINGAPORE 357774,357774,31898.8743474251,34694.1654123776,1.33003597946809,103.868352136654
KERRISDALE STURDEE ROAD,KERRISDALE,30,STURDEE ROAD,KERRISDALE,30 STURDEE ROAD KERRISDALE SINGAPORE 207852,207852,30708.5465999004,32823.9673555251,1.3131227003568,103.857656215109
CENTRA SUITES LORONG 25A GEYLANG,CENTRA SUITES,38,LORONG 25A GEYLANG,CENTRA SUITES,38 LORONG 25A GEYLANG CENTRA SUITES SINGAPORE 388242,388242,33561.1334143626,32993.0751556456,1.31465166781856,103.883288149427
76 SHENTON SHENTON WAY,76 SHENTON,76,SHENTON WAY,76 SHENTON,76 SHENTON WAY 76 SHENTON SINGAPORE 079119,079119,29364.6884398069,28438.9366187733,1.2734661134853,103.845580792511
QUEENS STIRLING ROAD,QUEENS,10,STIRLING ROAD,QUEENS,10 STIRLING ROAD QUEENS SINGAPORE 148954,148954,24922.4587808242,30598.4692679718,1.29299604681606,103.805665563173
CAPE ROYALE COVE WAY,CAPE ROYALE,11,COVE WAY,CAPE ROYALE,11 COVE WAY CAPE ROYALE SINGAPORE 098202,098202,28754.7587236715,24880.5454325154,1.24128528590103,103.8401002733
EURO-ASIA COURT RIVER VALLEY CLOSE,EURO-ASIA COURT,3,RIVER VALLEY CLOSE,EURO-ASIA COURT,3 RIVER VALLEY CLOSE EURO-ASIA COURT SINGAPORE 238429,238429,28486.8691188591,30794.7981857657,1.29477172447814,103.83769330846
VERDURE HOLLAND ROAD,VERDURE,55,HOLLAND ROAD,VERDURE,55 HOLLAND ROAD VERDURE SINGAPORE 258865,258865,25104.6281542256,32368.0326049738,1.30899937042874,103.807302268297
SIMS GREEN LORONG 27A GEYLANG,SIMS GREEN,7,LORONG 27A GEYLANG,SIMS GREEN,7 LORONG 27A GEYLANG SIMS GREEN SINGAPORE 388133,388133,33710.4345723698,32966.3985287324,1.31441038654771,103.884629689864
THE FORESTA @ MOUNT FABER WISHART ROAD,THE FORESTA @ MOUNT FABER,100,WISHART ROAD,THE FORESTA @ MOUNT FABER,100 WISHART ROAD THE FORESTA @ MOUNT FABER SINGAPORE 098748,098748,25846.3535097167,28094.405966945,1.27035025509729,103.813967319772
ST MARTIN RESIDENCE ST. MARTIN'S DRIVE,SAINT MARTIN RESIDENCE,2,SAINT MARTIN'S DRIVE,SAINT MARTIN RESIDENCE,2 SAINT MARTIN'S DRIVE SAINT MARTIN RESIDENCE SINGAPORE 257989,257989,27020.0970052117,32062.883384617,1.30623982883747,103.824513688059
SKYSUITES17 JALAN RAJAH,,,,,,,,,,
CONCOURSE SKYLINE BEACH ROAD,CONCOURSE SKYLINE,298,BEACH ROAD,CONCOURSE SKYLINE,298 BEACH ROAD CONCOURSE SKYLINE SINGAPORE 199554,199554,31177.0260071084,31402.4437890444,1.30026689906653,103.861865589801
ASCENTIA SKY ALEXANDRA VIEW,ASCENTIA SKY,1,ALEXANDRA VIEW,ASCENTIA SKY,1 ALEXANDRA VIEW ASCENTIA SKY SINGAPORE 158748,158748,26183.8948603524,30371.6344903782,1.29094473172583,103.817000115258
ECOVILLE MARTABAN ROAD,ECOVILLE,10,MARTABAN ROAD,ECOVILLE,10 MARTABAN ROAD ECOVILLE SINGAPORE 328668,328668,29955.5608280338,34007.9462421257,1.32383024362223,103.850890339366
MARTIN MODERN MARTIN PLACE,MARTIN MODERN,8,MARTIN PLACE,MARTIN MODERN,8 MARTIN PLACE MARTIN MODERN SINGAPORE 237992,237992,28532.6770486329,30653.8086463548,1.2934966639073,103.8381049101
POLLEN & BLEU FARRER DRIVE,,,,,,,,,,
8 @ MOUNT SOPHIA MOUNT SOPHIA,CITADINES MOUNT SOPHIA SINGAPORE,8,WILKIE ROAD,CITADINES MOUNT SOPHIA SINGAPORE,8 WILKIE ROAD CITADINES MOUNT SOPHIA SINGAPORE SINGAPORE 228095,228095,29786.030880345,31603.5766898729,1.30208598515708,103.849366883599
NOVA 48 PROME ROAD,NOVA 48,8,PROME ROAD,NOVA 48,8 PROME ROAD NOVA 48 SINGAPORE 328316,328316,29756.2057172293,34139.7272923142,1.32502203689022,103.849099034618
LEONIE GARDENS LEONIE HILL,LEONIE GARDENS,23,LEONIE HILL,LEONIE GARDENS,23 LEONIE HILL LEONIE GARDENS SINGAPORE 239224,239224,27874.4360891311,31193.7760066185,1.29837994307162,103.832190331692
THE ORCHARD RESIDENCES ORCHARD BOULEVARD,THE ORCHARD RESIDENCES,238,ORCHARD BOULEVARD,THE ORCHARD RESIDENCES,238 ORCHARD BOULEVARD THE ORCHARD RESIDENCES SINGAPORE 237973,237973,27820.735479923,31797.1799454633,1.30383691559687,103.831707804361
D'CHATEAU @ SHELFORD SHELFORD ROAD,D'CHATEAU @ SHELFORD,25,SHELFORD ROAD,D'CHATEAU @ SHELFORD,25 SHELFORD ROAD D'CHATEAU @ SHELFORD SINGAPORE 288415,288415,25626.1535649579,34479.6513688955,1.32809614767202,103.81198826246
VALLEY PARK RIVER VALLEY ROAD,UE SQUARE (PARK WING),205,RIVER VALLEY ROAD,UE SQUARE (PARK WING),205 RIVER VALLEY ROAD UE SQUARE (PARK WING) SINGAPORE 238274,238274,28993.7696754877,30569.0842013396,1.29273043457202,103.842248021629
THE TRIZON RIDGEWOOD CLOSE,THE TRIZON,2,RIDGEWOOD CLOSE,THE TRIZON,2 RIDGEWOOD CLOSE THE TRIZON SINGAPORE 276693,276693,21891.6091302782,33206.2524438947,1.31657946252272,103.778431585714
PATERSON RESIDENCE PATERSON ROAD,FRASER RESIDENCE ORCHARD SINGAPORE,31,PATERSON ROAD,FRASER RESIDENCE ORCHARD SINGAPORE,31 PATERSON ROAD FRASER RESIDENCE ORCHARD SINGAPORE SINGAPORE 238522,238522,27633.8685759846,31557.9117460549,1.30167305661383,103.830028721396
WATERFRONT @ FABER FABER WALK,WATERFRONT @ FABER,18,FABER WALK,WATERFRONT @ FABER,18 FABER WALK WATERFRONT @ FABER SINGAPORE 128978,128978,19323.9203481833,33971.1264506541,1.32349608758894,103.755359395053
ASTORIA PARK LORONG MYDIN,ASTORIA PARK,28,LORONG MYDIN,ASTORIA PARK,28 LORONG MYDIN ASTORIA PARK SINGAPORE 416883,416883,36735.1355847027,33710.9665019158,1.32114327931913,103.911808337852
THE SORRENTO WEST COAST ROAD,THE SORRENTO,55,WEST COAST ROAD,THE SORRENTO,55 WEST COAST ROAD THE SORRENTO SINGAPORE 127365,127365,20521.6404453712,30904.522199519,1.29576313642746,103.766122279701
